,v_mag_star,x_astropy,y_astropy,star_flux,source_ID
0,10.897,156.0,201.0,433424.96300831373,401-055592
1,11.513,223.0,64.0,262872.6031669357,401-055605
2,11.677,457.0,165.0,191907.45486487722,401-055544
3,12.369000000000002,234.0,98.0,111471.20385945459,401-055572
4,12.508,268.0,115.0,116741.3651157935,401-055573
5,12.743,418.0,257.0,74597.46755930185,401-055583
6,13.107999999999999,430.0,32.0,56435.689652295485,401-055575
7,13.295,433.0,269.0,50718.12857761686,401-055589
8,13.534,424.0,161.0,43953.210528829644,401-055581
9,13.702,77.0,221.0,35741.236524225664,401-055568
10,13.717,36.0,57.0,34436.96318113739,401-055591
11,13.743,208.0,123.0,32506.827886858366,401-055602
12,13.755,354.0,147.0,31591.269398967197,401-055610
13,13.776,20.0,229.0,33225.28113739661,400-055566
14,13.82,339.0,105.0,28899.853730745974,400-055548
15,14.007,274.0,96.0,24772.409384591396,400-055539
16,14.084000000000001,227.0,71.0,20274.839754521963,400-055601
17,14.189,355.0,28.0,18886.324605199854,400-055605
