,v_mag_star,x_astropy,y_astropy,star_flux,source_ID
0,10.395,395.0,74.0,574173.6841814413,402-050988
1,11.114,369.0,201.0,323115.1091378259,401-051417
2,11.289000000000001,193.0,30.0,259115.6440442453,401-051446
3,11.398,180.0,227.0,238173.41105435218,401-051435
4,11.837,189.0,255.0,171209.97791791306,401-051403
5,12.323,109.0,214.0,119069.92863215982,401-051419
6,12.390999999999998,200.0,171.0,112581.20833323615,401-051459
7,12.513,481.0,172.0,91236.91930721384,401-051390
8,12.669,129.0,166.0,83089.36278844289,401-051443
9,13.255,242.0,240.0,48743.17146387179,400-051329
10,13.455,252.0,268.0,40063.284884703935,400-051365
11,13.575999999999999,303.0,104.0,35632.285685383504,400-051328
12,13.665,482.0,19.0,32453.707058446736,400-051320
13,13.825,376.0,179.0,30405.1406911702,400-051310
14,13.917,252.0,241.0,29169.455641925586,400-051336
15,14.125,34.0,173.0,23412.01793648819,400-051348
16,14.181,145.0,269.0,27275.222180719524,400-051351
17,14.219000000000001,44.0,221.0,21944.97336925918,400-051338
18,14.495,146.0,202.0,16074.61356617745,400-051352
19,14.573,147.0,196.0,16014.277897806713,400-051327
