,v_mag_star,x_astropy,y_astropy,star_flux,source_ID
0,10.228,281.0,38.0,917258.6844358076,405-058050
1,10.829,119.0,205.0,548367.9704354871,405-058061
2,10.925999999999998,35.0,180.0,444372.23033962917,405-058025
3,10.935,342.0,62.0,456950.01918024046,405-058034
4,11.834000000000001,410.0,21.0,206332.5607240841,405-057997
5,11.922,32.0,249.0,193166.053126118,405-058021
6,12.093,266.0,125.0,187415.91051446195,405-058035
7,12.422,336.0,41.0,138882.53984475732,405-058002
8,12.459000000000001,489.0,167.0,349038.59312790225,405-058024
9,12.597999999999999,422.0,212.0,123087.35495570437,405-057980
10,12.658,469.0,196.0,100968.91322041559,405-058029
11,12.745,199.0,83.0,108682.28697617241,405-057987
12,12.796,420.0,143.0,88278.19040651902,405-058040
13,13.009,460.0,22.0,90059.39698790094,405-058018
14,13.045,81.0,209.0,79399.44900399123,405-057995
15,13.064,464.0,254.0,80593.04796544471,405-058054
16,13.207,437.0,213.0,70977.90683163484,405-057984
17,13.305,28.0,97.0,61353.81126318029,405-057992
18,13.459000000000001,318.0,185.0,56015.25075224056,404-056864
19,13.634,312.0,99.0,47325.05117142065,404-056915
20,13.642999999999999,318.0,205.0,45033.63411163766,404-056920
21,13.659,280.0,88.0,44884.5307660273,404-056943
22,13.700999999999999,72.0,101.0,42259.26358168787,404-056879
23,13.715,60.0,162.0,43465.588097894986,404-056916
24,13.827,346.0,195.0,39817.20253095047,404-056875
25,13.853,98.0,165.0,41850.19282949188,404-056882
26,13.944,378.0,118.0,35322.04919367173,404-056930
27,13.998,432.0,227.0,35231.40737111552,404-056932
28,14.106,109.0,142.0,30813.558464016798,404-056931
29,14.142999999999999,69.0,234.0,32120.317254001187,404-056872
30,14.167,136.0,212.0,32371.13245148756,404-056880
31,14.213,126.0,238.0,27065.48262067133,404-056863
32,14.248,150.0,43.0,26992.645335741025,404-056941
