,v_mag_star,x_astropy,y_astropy,star_flux,source_ID
0,10.107999999999999,135.0,207.0,738915.6750534491,412-053686
1,10.92,437.0,232.0,361465.91870527464,412-053696
2,11.338,26.0,35.0,230979.73920916027,411-054311
3,11.616,219.0,16.0,202671.15103190517,411-054246
4,11.67,226.0,160.0,169556.55988188318,411-054289
5,11.804,450.0,34.0,143687.8429751257,411-054268
6,11.814,107.0,181.0,153019.5386115939,411-054243
7,12.294,278.0,213.0,90501.18277501696,411-054263
8,12.623,237.0,227.0,68083.13398295816,411-054293
9,12.645999999999999,445.0,145.0,72770.915148162,411-054295
10,12.892999999999999,294.0,19.0,61280.13391904273,411-054296
11,12.972000000000001,201.0,209.0,58231.333572094685,411-054259
12,12.985,21.0,78.0,61105.95942823096,411-054309
13,12.997,298.0,57.0,51808.43194820298,411-054273
14,13.094000000000001,85.0,166.0,50643.901860674545,411-054255
15,13.409,62.0,265.0,33544.93552093288,411-054250
16,13.664000000000001,130.0,242.0,34675.44133850761,411-054254
17,13.732000000000001,116.0,162.0,24122.659427125738,410-055267
18,13.735,309.0,232.0,27292.990112447438,410-055273
19,13.868,366.0,136.0,20702.78851979494,410-055281
20,13.895,364.0,91.0,26366.3718332484,410-055295
21,13.901,268.0,231.0,21618.560860659472,410-055287
22,14.046,176.0,87.0,21307.219995674004,410-055292
23,14.055,112.0,191.0,18547.83655866013,410-055302
24,14.085999999999999,195.0,68.0,23670.445333909283,410-055320
25,14.248,138.0,140.0,16248.522172261015,410-055272
26,14.273,341.0,91.0,16423.65457533682,410-055257
