,v_mag_star,x_astropy,y_astropy,star_flux,source_ID
0,10.822000000000001,202.0,95.0,441830.39955780335,405-057268
1,10.864,118.0,54.0,396108.2081888732,405-057200
2,11.299000000000001,359.0,87.0,292709.4485921868,405-057207
3,11.315,138.0,101.0,223067.8916902713,405-057213
4,11.922,484.0,216.0,160381.7065192306,405-057271
5,11.965,30.0,267.0,148045.50893252945,405-057211
6,12.462,209.0,116.0,90886.0799652493,405-057258
7,12.556,389.0,224.0,97553.25925671583,405-057203
8,12.627,452.0,173.0,85256.89164946602,405-057229
9,13.195,34.0,42.0,47058.44418135029,405-057215
10,13.222000000000001,179.0,168.0,44063.93515826456,405-057269
11,13.288,103.0,44.0,45826.87972976468,405-057233
12,13.38,214.0,181.0,40570.06567230528,405-057259
13,13.404000000000002,314.0,237.0,44016.57340814924,405-057275
14,13.431,398.0,39.0,45813.03054067327,405-057222
15,13.537,88.0,93.0,40578.56886305697,405-057280
16,13.694,356.0,195.0,31594.876821217378,404-056069
17,13.739,361.0,129.0,31369.776887137177,404-056098
18,13.773,295.0,206.0,25787.705890645248,404-056051
19,13.849,265.0,215.0,26353.293111671308,404-056086
20,13.972000000000001,402.0,110.0,22098.267443574074,404-056081
21,14.062999999999999,98.0,195.0,22359.13639307128,404-056115
22,14.133,418.0,69.0,16201.053981102144,404-056101
23,14.207,115.0,85.0,19141.536009982447,404-056090
24,14.402000000000001,434.0,142.0,15286.501950538708,404-056040
