,v_mag_star,x_astropy,y_astropy,star_flux,source_ID
0,10.849,450.0,145.0,304328.3240421918,418-056866
1,10.919,273.0,55.0,351479.201130839,417-055916
2,10.925999999999998,49.0,23.0,251120.81334456813,417-055926
3,11.505999999999998,118.0,47.0,179167.1883317909,417-055905
4,12.017999999999999,21.0,125.0,93524.1655780372,417-055937
5,12.081,355.0,87.0,99633.22021440117,417-055966
6,12.354000000000001,466.0,66.0,80926.67415216754,417-055940
7,12.505999999999998,85.0,127.0,79557.44799683952,417-055950
8,12.651,279.0,74.0,60855.30172473114,417-055917
9,13.349,223.0,43.0,32646.78770785134,417-055892
10,13.764000000000001,79.0,102.0,20337.824400838952,417-055948
11,13.870999999999999,169.0,92.0,20399.13029730891,417-055889
12,13.878,166.0,41.0,19567.733503472333,417-055896
13,13.972999999999999,344.0,115.0,17277.6103075128,417-055964
14,14.019,423.0,248.0,17233.928593641584,417-055956
15,14.255999999999998,405.0,170.0,16092.013862290756,416-056924
