,v_mag_star,x_astropy,y_astropy,star_flux,source_ID
0,10.39,42.0,181.0,679024.6375348214,414-056306
1,11.419,239.0,210.0,268245.75700237,414-056307
2,12.035,313.0,30.0,143870.55397863206,414-056294
3,12.109000000000002,47.0,112.0,145464.69974219505,414-056328
4,12.253,252.0,14.0,120629.10459436393,413-058580
5,12.627,138.0,221.0,86498.16281207136,413-058539
6,12.65,237.0,159.0,92710.51719318876,413-058569
7,12.853,340.0,222.0,77330.90763867421,413-058517
8,12.998,379.0,22.0,65234.567586896934,413-058583
9,13.024000000000001,243.0,104.0,69317.07716373034,413-058564
10,13.038,415.0,229.0,68113.97578582464,413-058538
11,13.314,411.0,263.0,49606.40151086941,413-058522
12,13.359000000000002,478.0,211.0,47867.10370751352,413-058548
13,13.434000000000001,219.0,168.0,49345.706473440696,413-058561
14,13.46,173.0,141.0,40133.318203142444,413-058579
15,13.524000000000001,177.0,21.0,36607.73681294758,413-058555
16,13.552999999999999,18.0,218.0,41159.293180089444,413-058552
17,13.599,253.0,18.0,22277.291809804377,412-055432
18,13.675,108.0,106.0,37016.44789040391,412-055409
19,13.761,329.0,79.0,34737.82413026895,412-055441
20,13.776,193.0,178.0,28996.53712863101,412-055474
21,13.872,61.0,213.0,27415.643754772867,412-055411
22,13.89,14.0,76.0,25844.162510021528,412-055402
23,13.902000000000001,111.0,30.0,37379.6808105835,412-055424
24,13.962,189.0,172.0,26969.62597555264,412-055454
25,13.972000000000001,470.0,240.0,27227.27314252985,412-055464
26,14.065999999999999,271.0,45.0,24857.596678725222,412-055473
27,14.229000000000001,298.0,166.0,22308.14752849178,412-055453
28,14.279000000000002,335.0,255.0,39873.37769350478,412-055461
