,v_mag_star,x_astropy,y_astropy,star_flux,source_ID
0,10.482999999999999,173.0,74.0,379703.2111241912,414-057560
1,10.932,384.0,259.0,351516.0064874916,414-057562
2,11.027000000000001,488.0,117.0,221450.10142976913,413-059912
3,11.115,385.0,234.0,209297.59032792275,413-059849
4,11.534,479.0,40.0,160467.72439524528,413-059841
5,11.684000000000001,269.0,94.0,168703.49413964455,413-059850
6,12.362,129.0,59.0,73682.45727791567,413-059869
7,12.449000000000002,322.0,27.0,59207.7797544998,413-059837
8,12.767000000000001,332.0,28.0,46797.29764985091,413-059914
9,12.865,172.0,54.0,62310.77006049919,412-056772
10,12.982000000000001,113.0,102.0,44291.17858868151,412-056770
