,v_mag_star,x_astropy,y_astropy,star_flux,source_ID
0,10.302,42.0,169.0,830227.9102917581,403-048744
1,10.652000000000001,162.0,211.0,646929.0514767576,403-048713
2,11.485,459.0,37.0,295062.17063493707,403-048710
3,11.743,402.0,257.0,253323.34231289744,403-048779
4,11.793,241.0,13.0,250168.93867774357,403-048784
5,12.065,228.0,166.0,181699.45876359427,403-048805
6,12.275,486.0,39.0,174426.69591413502,403-048686
7,12.462,26.0,244.0,140326.16364444766,403-048793
8,12.788,409.0,35.0,102730.07517067637,403-048808
9,12.79,188.0,150.0,95465.6711004262,403-048815
10,12.991,307.0,183.0,80581.04498229126,403-048682
11,13.094000000000001,482.0,75.0,72011.39789940607,403-048782
12,13.103,227.0,71.0,74605.93099289328,403-048801
13,13.165,348.0,99.0,72662.13837396029,403-048737
14,13.220999999999998,366.0,84.0,65787.90448587885,403-048742
15,13.222000000000001,156.0,13.0,71336.29617627323,403-048759
16,13.276,150.0,96.0,66491.21091564307,403-048814
17,13.412,453.0,271.0,54575.281431251366,403-048804
18,13.474,120.0,243.0,53212.102437040376,403-048807
19,13.495999999999999,192.0,232.0,48767.98591492761,403-048783
20,13.623,234.0,195.0,48405.024664076074,403-048711
21,13.636,437.0,59.0,44946.6053650769,403-048778
22,13.637,207.0,68.0,49687.78591975096,403-048709
23,13.649000000000001,448.0,25.0,46816.815896292406,403-048731
24,13.663,194.0,138.0,47555.842618772855,403-048732
25,13.747,143.0,121.0,45095.66926324963,403-048757
26,13.849,194.0,132.0,34360.80889722428,403-048727
27,13.937999999999999,285.0,139.0,36079.88938993222,402-046550
28,13.99,119.0,257.0,37506.90447121923,402-046484
29,14.055,352.0,15.0,35921.8327971154,402-046551
30,14.069,285.0,75.0,34702.24754331852,402-046571
31,14.069,76.0,41.0,39676.999920202485,402-046553
32,14.07,193.0,261.0,32492.387497439326,402-046596
33,14.09,351.0,213.0,34288.98257896415,402-046530
34,14.11,369.0,24.0,32274.01090196011,402-046584
35,14.115,363.0,53.0,30844.58887377385,402-046539
36,14.21,371.0,201.0,29497.517027927013,402-046516
37,14.258,83.0,30.0,28303.703599740107,402-046481
38,14.283,446.0,80.0,28812.377025286947,402-046611
39,14.343,230.0,183.0,27944.890684471233,402-046515
40,14.39,454.0,82.0,24086.35594757335,402-046541
41,14.599,145.0,15.0,16893.02532837073,402-046624
