,v_mag_star,x_astropy,y_astropy,star_flux,source_ID
0,10.737,311.0,94.0,216783.41965087494,403-054978
1,11.628,151.0,173.0,103000.47852693437,403-054985
2,12.165,226.0,53.0,58947.11592532343,403-054986
3,12.472999999999999,331.0,115.0,50549.908587883074,403-054996
4,12.617,264.0,106.0,44164.270025994425,403-054992
5,12.725999999999999,87.0,128.0,35611.634272039366,403-054999
6,12.773,403.0,241.0,40482.21750532394,403-055012
7,12.952,120.0,137.0,32227.587296034188,403-054965
8,13.030999999999999,202.0,244.0,30954.858177407135,403-054968
9,13.095999999999998,253.0,243.0,27553.937645763654,403-054971
10,13.209000000000001,227.0,61.0,21882.943855365294,403-054988
11,13.242,167.0,264.0,21424.442143257467,402-052789
12,13.341,239.0,182.0,22199.969399919253,402-052802
13,13.392000000000001,305.0,228.0,22201.528096382994,402-052784
14,13.402000000000001,189.0,53.0,22353.805351437928,402-052778
15,13.533,402.0,119.0,21566.477875090757,402-052772
