,v_mag_star,x_astropy,y_astropy,star_flux,source_ID
0,10.645999999999999,277.0,183.0,475581.8206247617,412-052155
1,10.84,87.0,121.0,418200.00394548,412-052172
2,11.017000000000001,467.0,15.0,290609.3322882606,412-052203
3,11.447000000000001,28.0,69.0,219070.7955099109,411-052771
4,11.550999999999998,414.0,80.0,213228.95179611878,411-052767
5,11.767000000000001,435.0,118.0,158864.09520742923,411-052751
6,12.183,470.0,91.0,111867.32845945125,411-052742
7,12.450999999999999,373.0,137.0,100421.06830005588,411-052747
8,12.703,154.0,168.0,74378.13047847837,411-052798
9,12.800999999999998,425.0,101.0,65922.44552164694,411-052807
10,13.277000000000001,59.0,196.0,38272.83795499554,411-052815
11,13.431,33.0,222.0,33247.187563986896,411-052809
12,13.434000000000001,200.0,11.0,34765.30063274319,411-052739
13,13.52,257.0,109.0,34346.786743997676,411-052776
14,13.522,48.0,74.0,33953.37236200287,411-052783
15,13.564,87.0,195.0,31513.001084791817,411-052810
16,13.629000000000001,300.0,111.0,29990.98637514589,411-052758
17,13.875,211.0,58.0,23526.45936937679,411-052754
18,13.88,249.0,53.0,23264.625925101816,411-052797
19,14.027000000000001,22.0,104.0,20891.41461972441,411-052760
20,14.075,425.0,171.0,19132.536013607027,411-052808
21,14.093,128.0,235.0,19420.786867542665,410-053735
22,14.128,332.0,13.0,15936.086974732843,410-053703
23,14.183,375.0,74.0,18273.81445910051,410-053702
24,14.487,146.0,119.0,16801.01694700853,410-053693
25,14.715,81.0,61.0,15004.11560892795,410-053715
