,v_mag_star,x_astropy,y_astropy,star_flux,source_ID
0,10.600999999999999,14.0,245.0,454951.67761295196,414-058067
1,11.859000000000002,109.0,67.0,187660.1033070071,413-060409
2,12.04,281.0,151.0,154168.9998853809,413-060371
3,12.665,364.0,206.0,97017.00566031672,413-060350
4,13.255,104.0,145.0,48508.919122663436,413-060355
5,13.345,172.0,247.0,48482.30863741784,413-060341
6,13.609000000000002,378.0,148.0,35345.44896949174,413-060405
7,13.706,126.0,235.0,34945.41216196857,413-060379
8,13.777000000000001,407.0,70.0,30075.92301533538,413-060324
9,13.794,57.0,121.0,37472.32314132967,413-060337
10,13.865,160.0,53.0,29141.498989830125,413-060339
11,13.955,157.0,156.0,38648.01188342375,413-060397
12,14.075,16.0,263.0,25380.052599167022,413-060378
13,14.115,234.0,37.0,21919.208690781703,413-060351
14,14.213,427.0,18.0,19122.618260697687,412-057268
15,14.245,418.0,233.0,19941.194121598306,412-057285
16,14.338,90.0,130.0,18076.251093826013,412-057282
17,14.37,156.0,47.0,18020.89566753661,412-057264
18,14.545,320.0,234.0,16366.683635339361,412-057224
19,14.548,282.0,87.0,16546.436201591114,412-057205
20,14.583,299.0,257.0,15403.497348722096,412-057231
21,14.782,436.0,228.0,10676.96788370343,412-057258
22,14.856,378.0,12.0,12546.613143460365,412-057206
