,v_mag_star,x_astropy,y_astropy,star_flux,source_ID
0,11.732999999999999,335.0,46.0,208734.5879149057,406-055334
1,12.01,188.0,160.0,180407.71676440988,405-054913
2,12.015,333.0,81.0,153856.29019315922,405-054908
3,12.165,448.0,177.0,139840.7356423521,405-054882
4,12.177999999999999,307.0,228.0,132787.27320871604,405-054889
5,12.37,33.0,95.0,109746.48430448641,405-054907
6,12.495,215.0,63.0,112957.66770708817,405-054919
7,12.689,474.0,266.0,86462.79140951869,405-054866
8,13.435,262.0,228.0,40563.35801239747,405-054877
9,13.511,208.0,16.0,42312.51766399342,405-054909
10,13.532,449.0,245.0,37268.77551141202,405-054884
11,13.673,208.0,209.0,41754.21491498447,405-054901
12,13.674000000000001,300.0,256.0,37213.162947057186,405-054916
13,13.739,334.0,219.0,30949.17304579741,404-053731
14,13.759,403.0,33.0,29894.646242944764,404-053736
15,14.035,370.0,151.0,21617.25759850291,404-053747
16,14.065,477.0,82.0,23752.612967356272,404-053755
17,14.15,432.0,222.0,25613.59025491742,404-053737
18,14.158,308.0,176.0,23994.559908844196,404-053744
19,14.205,124.0,135.0,21397.015725000037,404-053756
20,14.220999999999998,259.0,213.0,18896.86847990435,404-053742
21,14.269,179.0,55.0,21566.262878044134,404-053759
