,v_mag_star,x_astropy,y_astropy,star_flux,source_ID
0,10.157,77.0,76.0,757442.7493216955,401-059494
1,10.245999999999999,360.0,69.0,1841002.255004371,401-059498
2,10.604000000000001,339.0,46.0,531459.773916927,401-059442
3,11.075999999999999,146.0,202.0,378326.0768717776,401-059418
4,11.478,117.0,130.0,258280.6704121632,401-059428
5,11.482999999999999,456.0,139.0,280293.119180809,401-059541
6,11.749,53.0,161.0,187564.981052678,401-059509
7,11.753,472.0,190.0,218323.5759221322,401-059412
8,11.913,238.0,216.0,203309.8157344643,400-059566
9,12.083,300.0,261.0,149945.75223628274,400-059580
10,12.155999999999999,158.0,74.0,151601.69418546534,400-059482
11,12.182,436.0,165.0,139611.2833814836,400-059508
12,12.52,383.0,156.0,99672.4196157299,400-059525
