,v_mag_star,x_astropy,y_astropy,star_flux,source_ID
0,11.03,481.0,61.0,366183.54326517065,413-058407
1,11.335999999999999,454.0,253.0,258391.4740159903,413-058463
2,11.515,58.0,205.0,224229.0143270181,413-058417
3,11.838,169.0,194.0,177154.7413152213,413-058436
4,12.133,126.0,182.0,118380.65317293585,413-058429
5,12.833,137.0,85.0,67143.46393038407,413-058413
6,12.919,118.0,159.0,55678.14390643774,412-055290
7,12.936,212.0,119.0,55510.08731088297,412-055274
8,13.094000000000001,337.0,204.0,48523.167480482785,412-055302
9,13.204,331.0,243.0,46122.88535963692,412-055297
10,13.312999999999999,432.0,230.0,40390.23661175236,412-055334
11,13.402999999999999,257.0,184.0,37212.183682310264,412-055289
12,13.542,148.0,252.0,34109.25751933396,412-055262
13,13.675999999999998,84.0,223.0,29987.800498796863,412-055316
14,13.727,219.0,186.0,27793.402839646256,412-055292
15,13.762,171.0,181.0,37549.57461833073,412-055265
16,13.772,261.0,97.0,26550.529267384627,412-055339
17,13.814,55.0,41.0,24121.44789075223,412-055314
18,13.897,194.0,218.0,21151.43346902084,412-055285
19,14.323,418.0,190.0,20563.446169994495,412-055343
20,14.370999999999999,160.0,268.0,16177.968904664218,412-055288
