,v_mag_star,x_astropy,y_astropy,star_flux,source_ID
0,11.48,167.0,50.0,200640.54638281846,403-054480
1,11.647,300.0,160.0,158323.3968707199,403-054449
2,11.732999999999999,477.0,98.0,135119.03264859834,403-054454
3,11.890999999999998,108.0,136.0,129099.28868345509,403-054465
4,12.039000000000001,194.0,146.0,105364.20179628243,403-054489
5,12.078,19.0,134.0,111327.83228270964,403-054479
6,12.549000000000001,15.0,253.0,66927.2670021477,403-054422
7,12.599,242.0,151.0,67572.6818448382,403-054437
8,12.797,26.0,246.0,50206.5096163642,403-054456
9,13.14,414.0,225.0,41936.025079894396,403-054471
10,13.186,362.0,190.0,40199.3592710792,403-054462
11,13.307,353.0,156.0,30798.859357708552,403-054478
12,13.333,466.0,228.0,55842.205153706425,403-054473
13,13.375,268.0,151.0,30308.661983367918,402-052257
14,13.38,187.0,75.0,34855.2962104496,402-052211
15,13.463,11.0,203.0,29984.26055994389,402-052267
16,13.548,102.0,271.0,29472.37238042123,402-052282
17,13.602,245.0,83.0,28033.0297390977,402-052217
18,13.825,370.0,126.0,21613.428361032908,402-052214
19,13.867,372.0,32.0,18918.946863489367,402-052224
