,v_mag_star,x_astropy,y_astropy,star_flux,source_ID
0,10.907,355.0,200.0,413106.084197757,410-052826
1,10.97,102.0,13.0,394460.81405483943,410-052797
2,11.087,36.0,117.0,375453.868474446,410-052805
3,11.261,44.0,47.0,261328.36463588834,409-051921
4,11.892000000000001,64.0,244.0,188141.69884971486,409-051955
5,12.345999999999998,383.0,151.0,134967.91065728376,409-051952
6,12.413,469.0,165.0,101667.61462846531,409-051936
7,13.039000000000001,280.0,11.0,59742.4467039883,409-051922
8,13.152000000000001,47.0,112.0,48828.98619531772,409-051919
9,13.308,220.0,134.0,43306.9852993583,409-051943
10,13.35,484.0,135.0,43019.85152684987,409-051990
11,13.460999999999999,127.0,23.0,34388.32662968999,409-051963
12,13.552999999999999,399.0,163.0,29023.414289690027,409-051914
13,13.569,316.0,225.0,35069.67228855655,409-051967
14,13.657,361.0,248.0,35370.71792258136,409-051973
15,13.713,285.0,73.0,26606.06254520797,409-051988
16,13.745,349.0,141.0,33606.863019348566,408-054026
17,13.817,294.0,53.0,25485.26452730386,408-054053
18,14.005999999999998,181.0,183.0,23729.095714703002,408-054042
19,14.052,13.0,149.0,22875.26814043354,408-054004
20,14.222999999999999,179.0,97.0,18897.03328800129,408-054056
