,v_mag_star,x_astropy,y_astropy,star_flux,source_ID
0,10.073,425.0,182.0,764836.700289651,402-049636
1,10.133,199.0,245.0,632829.2561199778,401-050121
2,10.252,115.0,142.0,659070.7466896613,401-050074
3,10.419,228.0,253.0,569425.2072092928,401-050095
4,11.347000000000001,339.0,35.0,323253.3803113687,401-050063
5,12.151,89.0,119.0,156689.03223789192,401-050084
6,12.449000000000002,224.0,93.0,115688.3790715569,401-050100
7,12.475999999999999,207.0,51.0,109710.32011775971,401-050082
8,12.869000000000002,440.0,143.0,82437.6787543252,401-050073
9,12.89,366.0,218.0,79942.29952728559,401-050076
10,13.022,450.0,243.0,69819.66480447946,401-050135
11,13.165999999999999,474.0,204.0,58324.57662981741,401-050110
12,13.216,406.0,230.0,55987.10507514578,401-050108
13,13.293,148.0,85.0,53134.428496562796,400-050067
14,13.375,91.0,49.0,9970.117212002755,400-050079
15,13.398,144.0,115.0,47067.396560263966,400-050050
16,13.67,33.0,58.0,38622.53584945682,400-050060
17,14.074000000000002,263.0,169.0,28367.4293724363,400-050072
18,14.103,147.0,20.0,25795.375863562564,400-050009
19,14.184000000000001,461.0,246.0,22868.40714605791,400-050074
20,14.245,258.0,171.0,20710.98193973588,400-050017
21,14.305,61.0,264.0,25269.97521656472,400-049991
