,v_mag_star,x_astropy,y_astropy,star_flux,source_ID
0,10.054,244.0,39.0,674066.8730461043,406-056659
1,11.035,99.0,118.0,339388.06126964756,405-056130
2,11.735,206.0,183.0,205182.9122989537,405-056124
3,11.769,354.0,40.0,177636.6673332905,405-056136
4,11.822000000000001,450.0,237.0,147367.82734133583,405-056131
5,12.194,151.0,236.0,120529.88922944404,405-056146
6,12.327,319.0,88.0,104675.52054315418,405-056106
7,12.383,11.0,146.0,103090.00107301961,405-056094
8,12.702,63.0,264.0,70960.79911500985,405-056145
9,12.755999999999998,343.0,229.0,69072.56986800993,405-056147
10,12.779000000000002,83.0,224.0,76829.90361946687,405-056095
11,12.97,16.0,165.0,53376.32470145949,404-054952
12,13.594000000000001,444.0,219.0,37381.91749199772,404-054981
13,13.808,457.0,164.0,32579.68729008823,404-054934
14,13.832,317.0,38.0,25674.119234910682,404-054957
15,13.847999999999999,468.0,164.0,26184.548609185673,404-054971
16,13.925,465.0,99.0,23537.37446630792,404-054943
17,14.237,473.0,13.0,20127.52692314008,404-054984
18,14.292,230.0,228.0,17946.623422748948,404-054928
