,v_mag_star,x_astropy,y_astropy,star_flux,source_ID
0,10.511,430.0,183.0,198843.9938919457,416-056055
1,10.602,73.0,265.0,414397.44049020193,416-056096
2,11.4,404.0,135.0,119132.33709602259,415-055995
3,12.01,259.0,54.0,99149.48809044053,415-055996
4,12.140999999999998,329.0,217.0,94849.99111047277,415-056010
5,12.370999999999999,287.0,255.0,66466.81004839593,415-056016
6,12.402999999999999,346.0,248.0,61603.555166619415,414-054661
7,12.412,306.0,15.0,70527.37290060977,414-054630
8,12.514000000000001,288.0,264.0,70072.44218397774,414-054620
9,12.582,133.0,221.0,59984.05995784236,414-054665
10,12.62,31.0,244.0,58251.80825557782,414-054650
11,12.665,282.0,97.0,41848.03628151315,414-054626
12,13.112,53.0,13.0,33713.798949501484,414-054651
