,v_mag_star,x_astropy,y_astropy,star_flux,source_ID
0,11.220999999999998,240.0,175.0,247951.97515571865,410-054021
1,11.513,139.0,174.0,208338.69024756103,410-054038
2,12.290999999999999,212.0,93.0,99762.97446229635,410-054025
3,12.638,354.0,197.0,67467.97029803108,409-053169
4,12.815,40.0,192.0,66539.37640830468,409-053160
5,12.829,411.0,141.0,63888.524831088405,409-053150
6,12.882,17.0,96.0,54286.67093592747,409-053138
7,12.965,346.0,70.0,55105.576483530305,409-053127
8,12.988,109.0,191.0,53564.19652555885,409-053101
9,13.137,413.0,70.0,47218.677659907415,409-053159
10,13.481,476.0,56.0,37135.43500783388,409-053133
11,13.536,283.0,74.0,33169.7068944745,409-053120
12,13.805,317.0,236.0,27044.11877762521,409-053119
13,13.870999999999999,311.0,37.0,4609.706452361838,409-053131
14,14.107000000000001,252.0,143.0,21846.586566140744,409-053113
15,14.142999999999999,256.0,213.0,21256.352900622423,409-053103
16,14.147,425.0,33.0,16660.92619683824,408-055307
17,14.186,265.0,30.0,19439.01361292043,408-055291
18,14.423,158.0,170.0,18752.4278995572,408-055295
19,14.495999999999999,12.0,219.0,7232.753784675976,408-055266
20,14.57,234.0,201.0,14606.927016280291,408-055301
