,v_mag_star,x_astropy,y_astropy,star_flux,source_ID
0,10.158999999999999,386.0,260.0,1037696.4352908733,407-058655
1,10.603,288.0,18.0,814109.9897417509,407-058619
2,10.806,99.0,135.0,607838.6221856828,407-058611
3,11.152999999999999,93.0,55.0,494028.6897736912,407-058614
4,11.196,79.0,103.0,6513.95582231833,407-058602
5,11.234000000000002,293.0,209.0,500154.1247341868,407-058573
6,11.367,147.0,35.0,370775.58915811346,407-058594
7,11.645999999999999,402.0,230.0,283886.89446883457,407-058592
8,11.913,368.0,83.0,220992.2760374208,407-058572
9,12.007,481.0,15.0,197193.19766049954,407-058615
10,12.062000000000001,46.0,223.0,185264.69413561633,407-058597
11,12.311,240.0,32.0,152949.1237554943,407-058642
12,12.399000000000001,254.0,37.0,127284.00012579116,407-058559
13,12.698,455.0,229.0,111603.82485280647,407-058612
14,12.7,305.0,147.0,107724.21051865314,407-058543
15,12.757,349.0,202.0,110876.81197767219,407-058546
16,12.799000000000001,143.0,239.0,106822.31135476811,407-058574
17,13.067,151.0,70.0,79272.21794849323,407-058549
18,13.122,440.0,254.0,73378.54510241588,407-058648
19,13.193,281.0,233.0,64650.022997297914,407-058630
20,13.35,148.0,31.0,31232.956540928488,407-058598
21,13.364,448.0,127.0,62180.26279912599,407-058643
22,13.377,318.0,181.0,61488.00588284239,407-058554
23,13.385,146.0,221.0,53443.37538805431,407-058576
24,13.413,426.0,97.0,57558.35555180148,407-058590
25,13.536,229.0,256.0,52687.09377625032,407-058650
26,13.665999999999999,255.0,93.0,48796.32744856989,407-058553
27,13.706,297.0,21.0,38425.35792346177,407-058604
28,13.717,236.0,35.0,27280.64137109086,407-058563
29,13.814,268.0,135.0,33547.625665560576,407-058616
30,13.819,451.0,257.0,33432.228927554,407-058605
31,13.860999999999999,387.0,243.0,38868.88901837242,406-059410
32,13.866,52.0,69.0,37632.62336389843,406-059423
33,14.042,30.0,64.0,32555.784189187918,406-059426
34,14.043,266.0,26.0,34414.81636405284,406-059430
35,14.049000000000001,425.0,42.0,30460.912713499554,406-059419
36,14.082,94.0,253.0,30542.221319457127,406-059391
37,14.102,476.0,222.0,29552.25851356696,406-059458
38,14.116,266.0,177.0,28783.120403352856,406-059367
39,14.132,305.0,35.0,26943.056162134028,406-059445
40,14.244000000000002,314.0,17.0,31454.994718095477,406-059453
41,14.251,235.0,115.0,24875.49498673583,406-059440
42,14.284,331.0,199.0,25591.263773452512,406-059415
43,14.306,76.0,236.0,23787.910194005657,406-059371
44,14.362,70.0,130.0,25372.05387489551,406-059390
45,14.367,269.0,163.0,28312.92648034348,406-059442
46,14.375,439.0,76.0,24225.469296719315,406-059437
47,14.447000000000001,64.0,71.0,22976.668895247083,406-059375
48,14.450999999999999,292.0,58.0,21751.055244948566,406-059449
49,14.479000000000001,222.0,258.0,17159.023585735245,406-059405
50,14.544,164.0,107.0,19344.537123766266,406-059402
51,14.55,424.0,225.0,20162.100143473785,406-059452
52,14.575999999999999,404.0,243.0,17059.273903664594,406-059436
