,v_mag_star,x_astropy,y_astropy,star_flux,source_ID
0,11.085,383.0,153.0,503311.07441680337,411-058238
1,11.339,320.0,77.0,325406.64277549204,411-058267
2,11.571,98.0,22.0,296583.0842192255,411-058246
3,11.65,360.0,218.0,301789.66717911564,411-058255
4,11.690999999999999,417.0,60.0,259581.54109055473,411-058334
5,11.745999999999999,414.0,112.0,242399.1282436071,411-058236
6,11.779000000000002,356.0,176.0,262554.777413841,411-058279
7,12.202,31.0,239.0,163855.55479786464,411-058295
8,12.290999999999999,144.0,45.0,160477.7746638393,411-058262
9,12.3,484.0,143.0,149963.24934681092,411-058250
10,12.353,70.0,34.0,142383.0925657713,411-058330
11,12.377,138.0,160.0,145586.3525079415,411-058299
12,12.387,181.0,36.0,138000.8763674232,411-058268
13,12.389000000000001,76.0,16.0,147370.03106182933,411-058320
14,12.54,258.0,257.0,128632.94449103191,411-058305
15,12.603,289.0,219.0,139540.3551011194,411-058308
16,12.632,331.0,180.0,116627.90657103786,411-058235
17,12.665,251.0,249.0,108607.1938870345,411-058232
18,12.905999999999999,256.0,222.0,80762.86159409455,411-058273
19,12.977,312.0,75.0,52569.29648082296,411-058285
20,13.197000000000001,48.0,88.0,66932.87107954288,411-058328
21,13.222999999999999,433.0,210.0,63557.409217136694,411-058347
22,13.415,422.0,206.0,56430.75755279021,411-058266
23,13.454,418.0,143.0,56333.132410893784,411-058348
24,13.493,70.0,220.0,47300.028115923276,411-058332
25,13.515999999999998,271.0,62.0,47860.26273622329,411-058322
26,13.571,244.0,217.0,43977.712894741686,411-058337
27,13.745,190.0,253.0,40074.62538632697,411-058261
28,13.754000000000001,357.0,190.0,39411.71166657806,411-058237
29,13.779000000000002,485.0,240.0,37899.55222305691,410-059535
30,13.84,221.0,268.0,33692.063174479066,410-059531
31,13.883,477.0,121.0,38372.70288660827,410-059493
32,13.895,130.0,28.0,34889.51193923106,410-059537
33,13.985,51.0,214.0,32064.47080470755,410-059481
34,13.997,164.0,66.0,32067.97368819995,410-059550
35,14.056,414.0,197.0,30885.278851640753,410-059555
36,14.083,434.0,157.0,31033.985201818938,410-059558
37,14.113,422.0,256.0,26281.08070120483,410-059466
38,14.115,173.0,92.0,28388.250398570042,410-059513
39,14.140999999999998,366.0,67.0,27869.137010494924,410-059538
40,14.208,118.0,196.0,26649.86068768693,410-059527
41,14.38,103.0,262.0,20250.383405752633,410-059471
42,14.474,70.0,161.0,20460.519937765464,410-059518
43,14.493,150.0,141.0,17915.73284336216,410-059460
44,14.502,222.0,98.0,19314.833550907886,410-059566
45,14.508,424.0,33.0,17423.493688354403,410-059515
46,14.557,163.0,18.0,18121.9660713639,410-059499
47,14.6,160.0,186.0,17316.141435873327,410-059554
48,14.612,68.0,86.0,17471.968581928333,410-059522
49,14.695,260.0,38.0,16862.8546600569,410-059477
50,14.732000000000001,111.0,48.0,22097.82872647873,410-059507
