,v_mag_star,x_astropy,y_astropy,star_flux,source_ID
0,10.645999999999999,266.0,86.0,471512.76939755166,418-054013
1,10.960999999999999,42.0,122.0,378743.36548102536,417-053221
2,11.114,319.0,21.0,307436.32083903556,417-053219
3,11.747,222.0,225.0,166568.25154885167,417-053198
4,12.415999999999999,478.0,80.0,81291.19127816288,417-053186
5,12.47,229.0,96.0,84943.6372458767,417-053188
6,12.523,484.0,80.0,75620.42369254072,417-053197
7,12.864,287.0,63.0,72222.07938241081,417-053238
8,13.112,438.0,142.0,45859.041850718415,417-053236
9,13.183,34.0,227.0,47575.75578461768,417-053187
10,13.239,259.0,69.0,42340.259700259034,417-053178
11,13.468,243.0,148.0,34739.354169978506,417-053151
12,13.535,267.0,73.0,35264.3651676437,417-053164
13,13.788,416.0,35.0,28040.360814714357,417-053228
14,13.902999999999999,398.0,193.0,24472.268155814138,417-053194
15,14.06,280.0,143.0,16837.262097962906,417-053183
16,14.242,406.0,58.0,20147.325158860676,417-053210
17,14.370999999999999,454.0,197.0,19434.40671974804,416-054060
18,14.405999999999999,152.0,138.0,15559.539650615594,416-054068
19,14.51,347.0,167.0,15521.250774250098,416-054030
20,14.790999999999999,286.0,73.0,16961.64699307854,416-054007
