,v_mag_star,x_astropy,y_astropy,star_flux,source_ID
0,10.53,12.0,26.0,547516.315423946,402-054282
1,10.555,279.0,210.0,562497.882276758,401-054935
2,11.436,326.0,203.0,284815.3497943171,401-054919
3,11.609000000000002,222.0,85.0,179599.34708537706,401-054939
4,11.767000000000001,315.0,37.0,186173.918667241,401-054951
5,11.913,168.0,39.0,161532.02212361147,401-054922
6,12.135,172.0,233.0,137744.21769724446,401-054940
7,12.345999999999998,361.0,106.0,119690.33473269889,401-054895
8,12.491,296.0,219.0,100036.25805322027,401-054900
9,12.777999999999999,357.0,43.0,73351.11038800073,401-054960
10,13.043,14.0,113.0,62785.30376374736,401-054905
11,13.558,470.0,260.0,37048.85585337656,400-054906
12,13.585999999999999,83.0,125.0,38034.629879092216,400-054897
13,13.913,417.0,68.0,28057.48139397528,400-054900
14,14.011,450.0,128.0,23043.802993497382,400-054884
15,14.664000000000001,98.0,136.0,17389.737669524646,400-054931
