,v_mag_star,x_astropy,y_astropy,star_flux,source_ID
0,10.176,279.0,13.0,912679.4023361416,406-058472
1,10.925999999999998,434.0,178.0,436779.0281658464,405-057953
2,10.999,105.0,262.0,422949.5357614883,405-057941
3,11.253,151.0,255.0,360230.08047896,405-057978
4,11.922,431.0,247.0,171750.4775191089,405-057946
5,12.228,179.0,114.0,139382.10460305127,405-057947
6,12.352,149.0,227.0,124676.55834856092,405-057980
7,12.44,50.0,179.0,119166.99678844062,405-057987
8,12.44,278.0,176.0,120080.45166266426,405-057928
9,13.045,480.0,207.0,59741.0993501585,405-057911
10,13.305,427.0,94.0,51759.49941330515,405-057984
11,13.341,12.0,231.0,49266.573079754715,404-056820
12,13.456,408.0,56.0,44496.577452532285,404-056836
13,13.502,193.0,219.0,38079.00539773624,404-056864
14,13.561,100.0,119.0,37462.94328540147,404-056782
15,13.610999999999999,278.0,89.0,40209.09410667542,404-056797
16,13.622,241.0,43.0,39208.18589571451,404-056875
17,13.700999999999999,471.0,99.0,36031.588206389824,404-056816
18,13.715,459.0,160.0,33244.39108554752,404-056787
19,13.769,90.0,264.0,43935.5369222865,404-056802
20,13.788,214.0,170.0,32581.970126212476,404-056775
21,13.79,300.0,33.0,31161.57737640346,404-056863
22,13.793,89.0,225.0,32092.864218674666,404-056826
23,13.794,257.0,253.0,32012.31094600554,404-056831
24,13.875,127.0,199.0,28278.143240140926,404-056803
25,13.905,238.0,250.0,26719.517674400402,404-056792
26,13.972000000000001,276.0,71.0,24412.20148858186,404-056789
