tomoe_id,utc_mu,year_jst_mu,month_jst_mu,day_jst_mu,hour_jst_mu,minute_jst_mu,second_jst_mu,duration,alt_start,alt_end,azimuth_radiant,zenith_radiant,velocity,n_data_interferometry,n_data_doppler,azimuth_start_at_kiso,elevation_start_at_kiso,range_start_at_kiso,azimuth_end_at_kiso,elevation_end_at_kiso,range_end_at_kiso
572515_115,2018-04-18T13:31:57.615,2018,4,18,22,31,57.615360,0.234000,91.961750,89.944762,169.635527,68.038013,20.855161,27,47,232.964488,26.477217,199680.518780,234.427783,26.272610,196711.509852
572524_007,2018-04-18T13:31:03.817,2018,4,18,22,31,3.817200,0.327600,102.749501,96.475010,136.083626,56.473089,34.594336,53,106,232.221318,30.145472,199118.273576,235.348447,28.419689,196870.691359
572524_007,2018-04-18T13:31:04.251,2018,4,18,22,31,4.250880,0.099840,94.449700,92.500277,134.897740,55.098995,33.057663,20,32,236.353847,27.832947,196320.259067,237.272790,27.259366,195848.129502
572534_007,2018-04-18T13:31:03.817,2018,4,18,22,31,3.817200,0.327600,102.749501,96.475010,136.083626,56.473089,34.594336,53,106,232.221318,30.145472,199118.273576,235.348447,28.419689,196870.691359
572534_007,2018-04-18T13:31:04.251,2018,4,18,22,31,4.250880,0.099840,94.449700,92.500277,134.897740,55.098995,33.057663,20,32,236.353847,27.832947,196320.259067,237.272790,27.259366,195848.129502
572622_107,2018-04-18T13:33:10.308,2018,4,18,22,33,10.308240,0.386880,94.469860,90.779461,67.774863,71.948769,30.181018,64,122,233.419423,28.330595,193373.281338,234.344868,25.890725,201041.677986
572631_108,2018-04-18T13:33:10.308,2018,4,18,22,33,10.308240,0.386880,94.469860,90.779461,67.774863,71.948769,30.181018,64,122,233.419423,28.330595,193373.281338,234.344868,25.890725,201041.677986
572644_117,2018-04-18T13:33:14.795,2018,4,18,22,33,14.794800,0.343200,95.921354,88.609592,65.799516,49.216762,33.282618,59,111,232.169910,28.310344,196408.615421,232.843281,25.317699,200197.478647
572844_078,2018-04-18T13:35:01.839,2018,4,18,22,35,1.838880,0.305760,112.115868,108.252786,147.065128,66.237535,33.117394,46,97,232.019182,31.959358,206465.250987,235.003299,31.163744,203762.522529
572844_079,2018-04-18T13:35:01.839,2018,4,18,22,35,1.838880,0.305760,112.115868,108.252786,147.065128,66.237535,33.117394,46,97,232.019182,31.959358,206465.250987,235.003299,31.163744,203762.522529
572844_080,2018-04-18T13:35:01.839,2018,4,18,22,35,1.838880,0.305760,112.115868,108.252786,147.065128,66.237535,33.117394,46,97,232.019182,31.959358,206465.250987,235.003299,31.163744,203762.522529
572916_008,2018-04-18T13:35:28.325,2018,4,18,22,35,28.324560,0.346320,99.698104,92.051601,87.677345,51.328593,36.088985,42,112,232.089925,29.203301,198626.615114,233.915609,26.186914,201794.711303
573525_100,2018-04-18T13:42:45.377,2018,4,18,22,42,45.377280,0.305760,99.151830,95.218344,55.274792,73.224364,44.625995,39,97,232.972048,29.530075,195684.860863,233.197644,26.711789,205034.278568
573712_037,2018-04-18T13:44:19.598,2018,4,18,22,44,19.598160,0.368160,97.499521,94.210100,107.830515,73.270397,31.743431,62,115,231.949609,28.453614,198713.729156,234.903757,26.749370,202662.468307
573725_090,2018-04-18T13:44:46.458,2018,4,18,22,44,46.458240,0.258960,93.860013,89.043616,145.659652,54.081550,30.522607,31,68,232.992855,27.561450,196762.631452,235.068166,26.360075,194222.792311
573834_083,2018-04-18T13:45:58.178,2018,4,18,22,45,58.177680,0.355680,96.354237,90.809676,134.006757,58.421123,31.772126,54,111,231.894010,27.839162,200151.648108,234.925027,26.246585,198737.272516
574216_031,2018-04-18T13:49:43.170,2018,4,18,22,49,43.170240,0.265200,103.879729,98.480951,136.553764,56.657164,36.646090,37,83,235.003544,30.912589,197018.683734,237.717374,29.379543,195263.589621
574226_030,2018-04-18T13:49:43.170,2018,4,18,22,49,43.170240,0.265200,103.879729,98.480951,136.553764,56.657164,36.646090,37,83,235.003544,30.912589,197018.683734,237.717374,29.379543,195263.589621
574226_031,2018-04-18T13:49:43.170,2018,4,18,22,49,43.170240,0.265200,103.879729,98.480951,136.553764,56.657164,36.646090,37,83,235.003544,30.912589,197018.683734,237.717374,29.379543,195263.589621
574226_051,2018-04-18T13:49:52.923,2018,4,18,22,49,52.923360,0.268320,98.109370,92.068022,131.551417,38.275347,27.423711,36,78,232.946683,28.297395,200879.434887,234.390269,26.660266,198717.125514
574232_049,2018-04-18T13:49:52.923,2018,4,18,22,49,52.923360,0.268320,98.109370,92.068022,131.551417,38.275347,27.423711,36,78,232.946683,28.297395,200879.434887,234.390269,26.660266,198717.125514
574232_050,2018-04-18T13:49:52.923,2018,4,18,22,49,52.923360,0.268320,98.109370,92.068022,131.551417,38.275347,27.423711,36,78,232.946683,28.297395,200879.434887,234.390269,26.660266,198717.125514
574232_051,2018-04-18T13:49:52.923,2018,4,18,22,49,52.923360,0.268320,98.109370,92.068022,131.551417,38.275347,27.423711,36,78,232.946683,28.297395,200879.434887,234.390269,26.660266,198717.125514
574413_083,2018-04-18T13:52:28.312,2018,4,18,22,52,28.311840,0.336960,95.136147,91.568070,63.560103,70.909880,32.247288,51,100,233.986306,28.324440,194747.377896,234.562275,26.044799,201709.781535
574422_084,2018-04-18T13:52:28.312,2018,4,18,22,52,28.311840,0.336960,95.136147,91.568070,63.560103,70.909880,32.247288,51,100,233.986306,28.324440,194747.377896,234.562275,26.044799,201709.781535
574431_084,2018-04-18T13:52:28.312,2018,4,18,22,52,28.311840,0.336960,95.136147,91.568070,63.560103,70.909880,32.247288,51,100,233.986306,28.324440,194747.377896,234.562275,26.044799,201709.781535
574511_068,2018-04-18T13:53:24.154,2018,4,18,22,53,24.153600,0.330720,97.382383,91.274845,142.359503,57.104005,34.188260,56,104,231.908296,27.640799,203497.816886,234.892230,26.114534,200611.621365
574511_069,2018-04-18T13:53:24.154,2018,4,18,22,53,24.153600,0.330720,97.382383,91.274845,142.359503,57.104005,34.188260,56,104,231.908296,27.640799,203497.816886,234.892230,26.114534,200611.621365
574511_070,2018-04-18T13:53:24.154,2018,4,18,22,53,24.153600,0.330720,97.382383,91.274845,142.359503,57.104005,34.188260,56,104,231.908296,27.640799,203497.816886,234.892230,26.114534,200611.621365
574521_069,2018-04-18T13:53:24.154,2018,4,18,22,53,24.153600,0.330720,97.382383,91.274845,142.359503,57.104005,34.188260,56,104,231.908296,27.640799,203497.816886,234.892230,26.114534,200611.621365
574521_070,2018-04-18T13:53:24.154,2018,4,18,22,53,24.153600,0.330720,97.382383,91.274845,142.359503,57.104005,34.188260,56,104,231.908296,27.640799,203497.816886,234.892230,26.114534,200611.621365
574534_069,2018-04-18T13:53:24.154,2018,4,18,22,53,24.153600,0.330720,97.382383,91.274845,142.359503,57.104005,34.188260,56,104,231.908296,27.640799,203497.816886,234.892230,26.114534,200611.621365
574542_069,2018-04-18T13:53:24.154,2018,4,18,22,53,24.153600,0.330720,97.382383,91.274845,142.359503,57.104005,34.188260,56,104,231.908296,27.640799,203497.816886,234.892230,26.114534,200611.621365
574932_008,2018-04-18T13:57:05.430,2018,4,18,22,57,5.430240,0.402480,88.530159,83.220348,129.285349,53.914396,22.676573,68,98,232.472043,26.337574,193265.665904,234.799651,24.703811,192356.968250
575026_049,2018-04-18T13:58:40.244,2018,4,18,22,58,40.243920,0.296400,90.241374,85.776323,132.311990,40.979821,19.223853,48,93,233.094086,26.196011,197846.080824,234.296648,24.949984,196422.771401
575426_053,2018-04-18T14:02:55.386,2018,4,18,23,2,55.386400,0.321360,93.840871,87.686737,151.674516,49.459437,31.271178,57,82,232.155047,27.065156,199840.020051,234.489561,25.649463,195922.892693
575431_053,2018-04-18T14:02:55.386,2018,4,18,23,2,55.386400,0.321360,93.840871,87.686737,151.674516,49.459437,31.271178,57,82,232.155047,27.065156,199840.020051,234.489561,25.649463,195922.892693
575441_054,2018-04-18T14:02:55.386,2018,4,18,23,2,55.386400,0.321360,93.840871,87.686737,151.674516,49.459437,31.271178,57,82,232.155047,27.065156,199840.020051,234.489561,25.649463,195922.892693
575516_115,2018-04-18T14:04:28.837,2018,4,18,23,4,28.836640,0.305760,101.943445,96.778423,139.477794,41.136052,21.512440,45,92,232.446946,29.315471,202350.371002,233.841881,28.015082,199924.731251
575526_116,2018-04-18T14:04:28.837,2018,4,18,23,4,28.836640,0.305760,101.943445,96.778423,139.477794,41.136052,21.512440,45,92,232.446946,29.315471,202350.371002,233.841881,28.015082,199924.731251
575913_115,2018-04-18T14:08:53.500,2018,4,18,23,8,53.500000,0.308880,96.084246,92.899141,76.337700,70.799455,32.478218,51,98,233.434391,28.598331,195029.466856,234.630636,26.588315,200946.164449
575923_115,2018-04-18T14:08:53.500,2018,4,18,23,8,53.500000,0.308880,96.084246,92.899141,76.337700,70.799455,32.478218,51,98,233.434391,28.598331,195029.466856,234.630636,26.588315,200946.164449
576013_041,2018-04-18T14:09:18.566,2018,4,18,23,9,18.566080,0.265200,111.536417,109.190478,55.435298,79.536854,48.556364,51,86,234.287392,32.428997,202910.746192,234.428375,29.977079,212385.984646
576022_041,2018-04-18T14:09:18.566,2018,4,18,23,9,18.566080,0.265200,111.536417,109.190478,55.435298,79.536854,48.556364,51,86,234.287392,32.428997,202910.746192,234.428375,29.977079,212385.984646
576026_039,2018-04-18T14:09:18.566,2018,4,18,23,9,18.566080,0.265200,111.536417,109.190478,55.435298,79.536854,48.556364,51,86,234.287392,32.428997,202910.746192,234.428375,29.977079,212385.984646
576026_041,2018-04-18T14:09:18.566,2018,4,18,23,9,18.566080,0.265200,111.536417,109.190478,55.435298,79.536854,48.556364,51,86,234.287392,32.428997,202910.746192,234.428375,29.977079,212385.984646
576031_041,2018-04-18T14:09:18.566,2018,4,18,23,9,18.566080,0.265200,111.536417,109.190478,55.435298,79.536854,48.556364,51,86,234.287392,32.428997,202910.746192,234.428375,29.977079,212385.984646
576526_116,2018-04-18T14:15:24.289,2018,4,18,23,15,24.289360,0.308880,93.779647,87.435571,149.005737,49.164036,31.986363,47,98,231.915092,27.185578,198947.418967,234.248009,25.673388,195214.199438
576712_067,2018-04-18T14:17:04.607,2018,4,18,23,17,4.606720,0.468000,99.435383,91.433195,162.972156,41.276000,23.004577,82,149,231.614375,29.128347,198551.446196,233.797485,27.463575,192366.197214
576722_067,2018-04-18T14:17:04.607,2018,4,18,23,17,4.606720,0.468000,99.435383,91.433195,162.972156,41.276000,23.004577,82,149,231.614375,29.128347,198551.446196,233.797485,27.463575,192366.197214
576924_004,2018-04-18T14:18:51.155,2018,4,18,23,18,51.154720,0.165360,124.094498,121.933582,146.602001,69.298513,37.988180,24,54,235.774884,34.257555,215301.863427,237.588263,33.802612,213985.772520
577044_018,2018-04-18T14:20:00.634,2018,4,18,23,20,0.634000,0.365040,102.009611,95.541406,150.466191,49.771512,27.585935,67,117,232.036833,29.919964,198980.351345,234.558346,28.461021,194754.995708
577044_019,2018-04-18T14:20:00.634,2018,4,18,23,20,0.634000,0.365040,102.009611,95.541406,150.466191,49.771512,27.585935,67,117,232.036833,29.919964,198980.351345,234.558346,28.461021,194754.995708
577414_032,2018-04-18T14:24:31.612,2018,4,18,23,24,31.612240,0.287040,98.887341,93.674510,144.651180,63.617238,41.596315,35,83,231.690618,28.410624,201751.609721,235.036536,27.166288,198852.536367
577414_032,2018-04-18T14:24:31.993,2018,4,18,23,24,31.992880,0.209040,104.652792,102.167432,125.074323,78.343633,60.172612,32,62,231.468125,30.150717,202712.914757,235.290161,29.012353,204604.874300
577424_034,2018-04-18T14:24:31.993,2018,4,18,23,24,31.992880,0.209040,104.652792,102.167432,125.074323,78.343633,60.172612,32,62,231.468125,30.150717,202712.914757,235.290161,29.012353,204604.874300
577443_031,2018-04-18T14:24:31.612,2018,4,18,23,24,31.612240,0.287040,98.887341,93.674510,144.651180,63.617238,41.596315,35,83,231.690618,28.410624,201751.609721,235.036536,27.166288,198852.536367
577523_013,2018-04-18T14:25:24.418,2018,4,18,23,25,24.418240,0.190320,96.452477,93.369369,140.721641,55.060411,30.703996,27,50,232.260735,27.783882,200694.208635,233.743610,26.994412,199305.134538
577523_078,2018-04-18T14:25:58.102,2018,4,18,23,25,58.101760,0.156000,97.200052,96.281975,103.636560,79.007575,56.045787,15,41,233.804621,25.117754,220721.248361,234.798856,24.572263,222914.079613
577524_078,2018-04-18T14:25:58.102,2018,4,18,23,25,58.101760,0.156000,97.200052,96.281975,103.636560,79.007575,56.045787,15,41,233.804621,25.117754,220721.248361,234.798856,24.572263,222914.079613
577633_022,2018-04-18T14:26:32.044,2018,4,18,23,26,32.044240,0.299520,102.964423,98.515411,68.408451,64.185824,34.133636,37,89,232.784828,29.954929,200607.132434,233.604524,27.614560,205986.279207
578011_016,2018-04-18T14:30:54.233,2018,4,18,23,30,54.233440,0.327600,100.341338,95.761743,18.609889,52.386276,23.425233,51,101,233.450589,29.448942,198454.604118,232.359640,27.583430,200533.585101
578011_017,2018-04-18T14:30:54.233,2018,4,18,23,30,54.233440,0.327600,100.341338,95.761743,18.609889,52.386276,23.425233,51,101,233.450589,29.448942,198454.604118,232.359640,27.583430,200533.585101
578012_016,2018-04-18T14:30:54.233,2018,4,18,23,30,54.233440,0.327600,100.341338,95.761743,18.609889,52.386276,23.425233,51,101,233.450589,29.448942,198454.604118,232.359640,27.583430,200533.585101
578021_073,2018-04-18T14:31:22.604,2018,4,18,23,31,22.603600,0.349440,95.039011,91.356276,41.397237,56.212421,19.246847,53,105,233.405548,28.175124,195438.761990,233.065711,26.483280,198352.847718
578114_038,2018-04-18T14:32:07.881,2018,4,18,23,32,7.881040,0.227760,100.235647,97.468902,81.720624,74.908527,48.670203,28,71,233.839094,29.970435,195300.454858,235.509698,27.886321,202131.619031
578141_037,2018-04-18T14:32:07.881,2018,4,18,23,32,7.881040,0.227760,100.235647,97.468902,81.720624,74.908527,48.670203,28,71,233.839094,29.970435,195300.454858,235.509698,27.886321,202131.619031
578812_050,2018-04-18T14:39:46.933,2018,4,18,23,39,46.932880,0.340080,96.504539,90.415868,138.985466,50.691267,27.667967,53,109,232.342316,27.670577,201509.477400,234.671463,26.076206,199014.926404
578823_049,2018-04-18T14:39:46.933,2018,4,18,23,39,46.932880,0.340080,96.504539,90.415868,138.985466,50.691267,27.667967,53,109,232.342316,27.670577,201509.477400,234.671463,26.076206,199014.926404
578823_051,2018-04-18T14:39:46.933,2018,4,18,23,39,46.932880,0.340080,96.504539,90.415868,138.985466,50.691267,27.667967,53,109,232.342316,27.670577,201509.477400,234.671463,26.076206,199014.926404
578833_049,2018-04-18T14:39:46.933,2018,4,18,23,39,46.932880,0.340080,96.504539,90.415868,138.985466,50.691267,27.667967,53,109,232.342316,27.670577,201509.477400,234.671463,26.076206,199014.926404
578843_050,2018-04-18T14:39:46.933,2018,4,18,23,39,46.932880,0.340080,96.504539,90.415868,138.985466,50.691267,27.667967,53,109,232.342316,27.670577,201509.477400,234.671463,26.076206,199014.926404
579513_060,2018-04-18T14:47:23.972,2018,4,18,23,47,23.972320,0.193440,109.986393,107.606044,94.154260,78.090842,60.570151,36,62,230.406943,31.236497,206568.912731,232.893994,29.480812,212360.315856
579524_089,2018-04-18T14:47:38.561,2018,4,18,23,47,38.561440,0.324480,99.193566,91.968052,151.965120,55.166089,39.201510,48,104,231.733516,28.628073,201042.681443,235.054653,27.051228,196020.599550
579544_087,2018-04-18T14:47:38.561,2018,4,18,23,47,38.561440,0.324480,99.193566,91.968052,151.965120,55.166089,39.201510,48,104,231.733516,28.628073,201042.681443,235.054653,27.051228,196020.599550
579715_048,2018-04-18T14:49:24.011,2018,4,18,23,49,24.011200,0.271440,117.004554,110.233532,89.065822,64.404805,58.271343,37,87,233.123834,33.932925,204789.671455,235.812590,30.606770,210628.061814
580333_118,2018-04-18T14:56:29.779,2018,4,18,23,56,29.778880,0.252720,105.508223,102.411596,49.575034,72.947038,41.497220,53,81,227.272639,28.366329,215347.622550,227.430333,26.386125,222638.273901
