Event_Number,MJD,Begining_time_of_the_event_YYYY,MM,DD,hh,mm,ss.ssssss,Duratin[s],Radiant(Right_Ascension),Radiant(Declination),Radiant(Azimuth),Radiant(Zenith),Radiant(Azimuth)_uncorrected,Radiant(Zenith)_uncorrected,Zenith_angle_correction,Initial_velocity(observed)[km/s],Initial_velocity(geocentric)[km/s],RCS[dBsm]at_max_SNR,SNR_max[dB],Beginning_height[km],End height [km],Azimuth of meteor start point,Zenith of meteor start point,Azimuth of meteor end point,Zenith of meteor end point,Semimajor_axis_(AU),Eccentricity,Perihelion_dist_(AU),Lon_of_asc_node_(deg),Inclination_(deg),Argument_of_periapsis_(deg),Period [yr],Heliocentric velocity [km/s],Radiant (ecliptic longitude),Radiant (ecliptic latitude),Solar longitude,RA error,dec error,az error,ze error,velocity error,a error,e error,q error,i error,omega error,P error,heliocentric velocity error,radiant (ecliptic longitude),radiant (ecliptic latitude),Hammer X,Hammer Y,Time from perihelion [days]
1003927,58229.82091,2018,4,21,19,42,6.37616,0.19656,297.218701,3.726087,151.496421,34.345908,150.849451,34.128107,0.382949,53.74036,52.473307,-35.406075,9.846687,102.608766,94.122209,196.865222,2.622564,278.591044,2.60383,0.927131,0.086725,0.846725,31.401172,130.013939,346.845351,0.892712,28.273244,300.069694,24.366617,31.401172,3.903832,3.614829,5.524728,2.523005,1.668642,0.162571,0.085742,0.203434,6.646296,38.88435,0.239686,1.668642,3.903832,3.614829,0.025857,0.42209,-148.93381
1003928,58229.82095,2018,4,21,19,42,9.83,0.11544,311.730145,8.65464,126.323256,38.046667,125.857943,37.7703,0.584496,46.13754,44.583556,-36.595559,10.035391,98.899662,94.840368,67.08882,1.098569,342.429102,1.641074,0.752334,0.552378,0.336762,31.401211,115.451478,29.695032,0.652553,24.074384,316.840455,25.563526,31.401211,2.703965,2.76098,2.174277,2.412699,1.538626,0.076801,0.098893,0.102174,7.058389,20.910934,0.100646,1.538626,2.703965,2.76098,-0.244852,0.443412,67.747395
1003929,58229.82122,2018,4,21,19,42,33.24248,0.25272,297.850809,6.046984,148.911746,32.439928,148.25332,32.26577,0.355368,54.112024,52.850723,-21.280186,23.293296,106.264048,94.683138,192.075936,0.662486,320.65736,3.869338,1.001156,0.014034,0.987107,31.401475,126.852613,73.216295,1.001735,29.484335,301.27595,26.510637,31.401475,0.242481,0.165418,0.432739,0.069333,0.040654,0.006094,0.008094,0.0108,0.23445,61.002133,0.009146,0.040654,0.242481,0.165418,0.006147,0.458579,106.961476
1003930,58229.82134,2018,4,21,19,42,43.59776,0.1092,317.216026,-6.471076,133.880577,53.169128,133.587936,52.903177,0.413487,65.798462,64.627543,-21.624747,17.411041,95.343676,91.148777,142.247883,4.697058,162.697303,1.52433,2.949914,0.752581,0.729865,31.401593,161.335432,111.248306,5.066569,38.053636,317.678839,9.499203,31.401593,1.313126,1.340829,1.089702,0.985468,1.590957,1.876062,0.112237,0.06081,2.816374,21.127392,5.495783,1.590957,1.313126,1.340829,-0.276454,0.166015,41.315493
1003931,58229.82138,2018,4,21,19,42,47.43224,0.15288,298.954875,-7.382803,155.58971,45.258792,155.181671,45.050732,0.301638,70.088138,69.088222,-19.351678,23.075787,112.55374,104.730431,76.66552,0.931313,349.195176,4.02689,10.991916,0.90873,1.00323,31.401636,157.355568,184.974362,36.442664,40.811932,299.538271,13.134651,31.401636,2.31985,1.711551,2.895172,1.042405,1.278808,43.501374,0.14024,0.00619,2.51572,16.806389,1.727202,1.278808,2.31985,1.711551,0.036303,0.228754,-3.675205
1003932,58229.82163,2018,4,21,19,43,9.188,0.18096,336.980944,52.368586,48.042693,42.362919,48.742395,41.340522,1.413284,31.745319,29.535144,-11.117756,18.500578,99.480182,95.139095,176.123399,5.304513,190.615465,7.116291,2.511417,0.692311,0.772736,31.401882,46.062446,115.785848,3.979955,37.365288,9.687335,55.243422,31.401882,2.595294,1.692238,2.397213,1.412952,0.643293,0.765381,0.078599,0.030645,2.092176,11.308984,1.895942,0.643293,2.595294,1.692238,-0.743327,0.957481,40.985587
1003933,58229.82171,2018,4,21,19,43,15.89288,0.20904,310.077787,-21.176922,150.073416,62.109242,149.757637,61.738403,0.447855,69.160676,68.090962,-26.185239,19.444086,111.23651,104.384608,132.717865,2.513527,339.883047,4.456365,3.740337,0.741746,0.965958,211.401957,175.129571,335.327182,7.233793,38.870446,306.943843,-2.731707,31.401957,0.491506,0.460339,0.389864,0.329136,0.720286,1.037132,0.067121,0.007586,0.754542,5.946564,3.109793,0.720286,0.491506,0.460339,-0.092097,-0.047674,18.494517
1003934,58229.82187,2018,4,21,19,43,29.702,0.23088,322.263838,6.194488,118.152872,46.889108,117.898524,46.643424,0.483665,56.723282,55.372973,-20.183626,23.572878,104.293033,95.073847,80.984479,3.180716,333.80662,3.559054,1.550616,0.713864,0.443687,31.402113,132.706514,70.065504,1.930885,34.347698,326.756692,19.938237,31.402113,0.390942,0.385513,0.303267,0.314986,0.330826,0.078874,0.013188,0.016877,1.042631,4.815299,0.147513,0.330826,0.390942,0.385513,-0.417137,0.348266,48.745305
1003935,58229.82193,2018,4,21,19,43,34.7408,0.156,304.233727,0.843976,143.707649,39.862557,143.286377,39.723088,0.292609,66.477633,65.394539,-38.996295,7.219143,104.899273,96.809125,187.554057,1.664814,297.493128,2.880566,4.196501,0.767533,0.975546,31.40217,144.654357,158.817929,8.596684,39.196955,306.775187,20.017633,31.40217,1.949695,1.793842,2.461522,1.144528,1.116288,4.530395,0.146215,0.02317,3.045553,18.031756,17.841752,1.116288,1.949695,1.793842,-0.085137,0.347692,15.890239
1003936,58229.82208,2018,4,21,19,43,47.56088,0.16848,294.373347,-5.827203,161.526821,42.323558,160.993085,42.016731,0.396877,58.966368,57.826841,-28.213108,13.515251,106.829877,99.144289,212.893556,2.598804,295.645595,3.087599,1.081124,0.192891,0.872585,31.402315,149.064378,259.338323,1.124121,30.56348,295.216935,15.501664,31.402315,3.782096,2.833136,4.962495,1.964556,1.892927,0.230798,0.147599,0.168137,4.884675,128.036588,0.370077,1.892927,3.782096,2.833136,0.10937,0.269837,-66.504642
1003937,58229.82224,2018,4,21,19,44,1.78184,0.22152,308.044927,0.232257,139.342684,42.277245,138.928607,42.080701,0.374656,60.722975,59.526925,-27.124222,19.691849,107.141776,97.540077,135.454896,1.976834,321.372506,3.122555,1.421071,0.397635,0.856003,31.402476,144.171638,118.607368,1.69404,33.588689,310.524596,18.478403,31.402476,0.175884,0.259864,0.032764,0.287286,0.27312,0.05201,0.014889,0.010997,0.626047,6.680796,0.093063,0.27312,0.175884,0.259864,-0.148588,0.321355,46.697307
1003938,58229.82226,2018,4,21,19,44,2.81144,0.19344,298.779227,-9.628718,157.256623,47.216241,156.776764,46.861194,0.456701,58.450101,57.27284,-29.995659,17.012197,102.157564,94.563878,177.576667,2.586188,314.095113,2.575571,0.956094,0.0846,0.875208,31.402487,157.697485,310.999583,0.934869,28.775567,298.913119,10.966569,31.402487,0.50988,0.629036,0.469029,0.529853,0.577178,0.041348,0.033342,0.06872,1.337303,55.44204,0.060717,0.577178,0.50988,0.629036,0.047325,0.19113,-117.020736
1003939,58229.82289,2018,4,21,19,44,57.35528,0.21528,309.589138,-10.014602,144.898539,51.780805,144.534121,51.479805,0.427033,63.687349,62.534388,-29.75104,16.515338,105.87112,97.287513,132.12061,2.230885,332.01881,4.019826,1.51275,0.418426,0.879776,31.403103,164.317468,125.276224,1.860589,34.140949,309.347266,8.180315,31.403103,0.328113,0.392084,0.227421,0.338025,0.464933,0.094601,0.031118,0.015743,0.807757,9.602595,0.174884,0.464933,0.328113,0.392084,-0.133095,0.142733,42.193144
1003940,58229.8234,2018,4,21,19,45,42.09608,0.19344,325.978129,-6.017969,126.043331,57.861272,125.799747,57.524085,0.490089,63.515919,62.269597,-27.464197,18.221423,105.700157,99.184961,118.902435,1.962513,309.499481,3.890231,3.057288,0.844373,0.475798,31.403609,163.605653,81.360057,5.3457,38.190562,326.179486,7.187768,31.403609,0.598241,0.58707,0.574319,0.335384,0.579084,0.639132,0.030841,0.026411,1.346791,7.167184,1.710066,0.579084,0.598241,0.58707,-0.424586,0.126084,43.378951
1003941,58229.82341,2018,4,21,19,45,42.60152,0.22776,305.67639,-2.009495,144.58107,42.80058,144.185534,42.635684,0.306106,67.55265,66.479247,-17.628837,28.026974,106.475903,95.212184,120.347694,2.760577,344.48882,3.590272,4.676258,0.793365,0.966277,31.403614,150.116589,155.899948,10.112249,39.469509,307.528713,16.90119,31.403614,0.132829,0.152902,0.118309,0.127516,0.137081,0.349473,0.015338,0.001889,0.28997,1.410744,1.136392,0.137081,0.132829,0.152902,-0.099021,0.294012,17.808017
1003942,58229.82346,2018,4,21,19,45,46.7792,0.15288,300.693096,-3.747808,152.36335,42.224504,151.861299,41.956031,0.400591,58.645161,57.461747,-29.601894,16.62899,109.718471,103.387976,161.422121,1.574571,322.148145,1.638808,1.055162,0.060451,0.991377,31.403661,147.654901,139.60947,1.083874,30.235143,302.05841,16.338859,31.403661,2.444935,2.146119,3.014043,1.436774,1.372114,0.149795,0.080865,0.087071,4.020191,73.390429,0.233731,1.372114,2.444935,2.146119,-0.006678,0.28421,39.647871
1003943,58229.82358,2018,4,21,19,45,57.60248,0.25896,306.999551,-43.600059,162.350489,81.558681,161.985929,80.687513,0.89044,58.664052,57.483942,-23.068009,23.385787,102.611566,100.101111,150.066837,4.274293,353.428016,4.559118,1.292509,0.232131,0.992478,211.403783,134.73451,20.982063,1.469435,32.662009,298.432516,-23.7466,31.403783,0.427063,0.305105,0.254729,0.189728,1.190855,0.152344,0.087231,0.007994,1.208195,19.860498,0.261722,1.190855,0.427063,0.305105,0.052728,-0.411531,-19.122991
1003944,58229.82397,2018,4,21,19,46,30.61208,0.25272,222.844151,-9.681358,243.702988,71.913587,243.366795,69.070153,2.617285,31.211384,29.516779,-20.298857,23.409653,102.869764,100.143965,196.980771,2.590423,103.001847,3.0216,2.27873,0.845098,0.35298,31.404156,8.013693,294.613422,3.439848,36.884953,223.333926,6.448998,31.404156,1.309239,1.296099,1.095479,0.618116,0.872927,0.47662,0.028056,0.026638,1.71415,5.776778,1.102584,0.872927,1.309239,1.296099,1.334018,0.119353,-42.844693
1003945,58229.82402,2018,4,21,19,46,34.9832,0.2184,306.730169,-29.625127,157.60501,68.347829,157.230588,67.712623,0.690486,59.183016,57.991916,-25.306199,18.637311,105.341295,100.411738,183.740938,2.843634,319.742837,4.425387,0.990806,0.036248,0.954892,211.404206,159.569674,244.770395,0.986241,29.328683,301.880905,-10.162409,31.404206,0.754732,0.668043,0.548211,0.479972,1.226855,0.087273,0.023412,0.096392,1.555551,160.348258,0.130901,1.226855,0.754732,0.668043,-0.003732,-0.177125,111.50046
1003946,58229.82407,2018,4,21,19,46,39.61328,0.14352,294.911076,4.445167,156.871814,32.439604,156.174819,32.231365,0.344658,54.921474,53.703046,-32.182446,12.77462,103.743092,97.429907,260.934505,1.345552,309.591347,3.099931,1.029733,0.090301,0.936746,31.404258,129.031831,259.651376,1.044929,29.893738,297.731538,25.515805,31.404258,3.736602,2.372497,6.498186,1.260395,0.755666,0.093774,0.097779,0.121517,3.247788,98.230397,0.144201,0.755666,3.736602,2.372497,0.063501,0.441731,-73.797121
1003947,58229.82445,2018,4,21,19,47,12.69464,0.21216,320.021771,-22.043548,142.507275,66.946443,142.172541,66.323446,0.71916,57.332457,56.026135,-35.985995,10.776599,104.567273,99.431114,129.131068,3.333061,336.19911,3.259857,0.959777,0.492625,0.486967,211.404631,166.131442,235.81622,0.940277,28.836644,315.59492,-6.170199,31.404631,1.210417,0.976428,1.098377,0.470799,1.060154,0.081926,0.042237,0.064325,1.85555,16.341926,0.120924,1.060154,1.210417,0.976428,-0.241933,-0.107828,64.297027
1003948,58229.82454,2018,4,21,19,47,19.84568,0.28704,315.457636,-32.579542,151.841129,74.040897,151.315045,72.331334,1.792896,38.912007,37.108986,-34.685211,12.67108,96.711326,92.96791,127.282382,2.958134,350.159176,3.862626,0.550401,0.85582,0.079357,211.404712,121.812901,184.251031,0.408337,12.322722,308.446957,-15.008189,31.404712,0.528371,0.766492,0.106128,0.647577,1.366256,0.010821,0.032315,0.019371,6.840923,1.785755,0.012053,1.366256,0.528371,0.766492,-0.11531,-0.2613,62.973571
1003949,58229.82472,2018,4,21,19,47,35.69216,0.22464,299.808507,-3.427201,154.049197,41.43062,153.535901,41.168954,0.386866,59.075517,57.907787,-30.423927,12.119719,103.777802,93.979627,160.179978,3.351258,317.416568,1.535869,1.099641,0.086695,1.004308,31.404892,146.985372,172.289676,1.153125,30.786117,301.227514,16.836962,31.404892,0.908001,1.068067,0.93567,0.881574,0.803528,0.091786,0.075908,0.011935,2.182257,89.846427,0.144966,0.803528,0.908001,1.068067,0.007379,0.292809,7.556563
1003950,58229.82477,2018,4,21,19,47,40.3628,0.24336,312.088469,-4.769933,139.393988,48.174833,139.02154,47.907379,0.427576,61.079437,59.872409,-20.618807,19.42359,116.306181,106.211018,165.688396,1.767305,307.712457,4.432136,1.330176,0.44,0.744898,31.404944,154.698791,98.795785,1.534135,32.954839,313.18792,12.582763,31.404944,0.355186,0.421024,0.232644,0.377007,0.436316,0.069746,0.020689,0.023702,0.969822,9.949495,0.120835,0.436316,0.355186,0.421024,-0.197419,0.219444,54.930674
1003951,58229.8249,2018,4,21,19,47,51.24848,0.20592,304.36025,-22.722527,157.430762,61.037961,157.06146,60.587732,0.51695,63.711395,62.604074,-32.027325,12.829961,107.518706,100.688979,133.337795,3.354234,0.578921,3.597515,1.345855,0.253687,1.004429,211.405067,174.399358,355.581589,1.56134,33.071185,301.418335,-2.954832,31.405067,0.964117,0.941894,0.773929,0.720095,1.450454,0.213061,0.11523,0.003366,1.691,8.066748,0.375639,1.450454,0.964117,0.941894,0.004262,-0.051568,4.031997
1003952,58229.82495,2018,4,21,19,47,55.46048,0.2496,300.349381,-6.343303,154.941951,44.31912,154.443684,44.006449,0.430474,58.112729,56.925029,-24.985299,18.62447,106.217568,95.851433,118.911896,2.78365,1.950804,3.876645,0.973461,0.033592,0.940761,31.405114,151.984815,14.600349,0.960457,29.058518,301.149028,13.872458,31.405114,0.418266,0.51111,0.397856,0.428739,0.417941,0.03339,0.032778,0.062645,1.090593,4.140709,0.049451,0.417941,0.418266,0.51111,0.008784,0.241529,160.209831
1003953,58229.82539,2018,4,21,19,48,33.84584,0.2652,274.55599,-2.749821,193.946942,38.467416,193.293589,37.958971,0.431543,53.615093,52.50978,-21.647535,23.148384,104.170098,93.16955,229.908078,2.679764,341.696978,3.409567,1.190067,0.685498,0.374278,31.405548,127.837847,302.896911,1.298246,31.755165,274.862636,20.610228,31.405548,0.554463,0.509375,0.772913,0.416738,0.301601,0.056334,0.014565,0.020101,1.578179,4.915355,0.092295,0.301601,0.554463,0.509375,0.44393,0.360155,-50.893858
1003954,58229.82541,2018,4,21,19,48,35.76776,0.17784,281.288372,-4.244163,183.016404,39.139396,182.369414,38.70313,0.421308,54.805462,53.680158,-31.518109,15.500451,104.353701,96.715304,155.718555,2.120653,36.279263,1.84422,1.042074,0.548919,0.47006,31.40557,136.727835,300.13297,1.06377,30.061959,281.895288,18.727871,31.40557,2.331862,2.377561,3.485681,2.251746,1.771661,0.231834,0.077976,0.133044,7.235897,34.242593,0.364354,1.771661,2.331862,2.377561,0.330758,0.32659,-59.256471
1003955,58229.82544,2018,4,21,19,48,38.01728,0.234,306.181188,-9.142495,149.332173,49.071501,148.854521,48.636955,0.57662,53.243862,51.920263,-31.118205,16.552682,103.003961,94.689547,142.2065,2.538469,335.280015,2.852695,0.73902,0.40748,0.437884,31.405595,157.406972,18.344066,0.635308,23.634064,306.26868,9.856241,31.405595,0.652547,0.703847,0.591882,0.543804,0.57644,0.021594,0.038196,0.038763,1.701674,6.733238,0.027864,0.57644,0.652547,0.703847,-0.079498,0.171839,90.956651
1003956,58229.8256,2018,4,21,19,48,51.44888,0.2964,317.445721,6.009156,124.51648,42.697404,124.139766,42.397917,0.57362,49.536378,48.054515,-26.649435,15.882739,100.490027,89.960492,127.550697,2.598927,301.133936,3.315711,0.853549,0.618789,0.325382,31.405747,125.223308,39.726535,0.788574,26.792117,321.850513,21.318915,31.405747,0.334868,0.334683,0.339854,0.231948,0.180625,0.012985,0.009788,0.009864,0.888011,2.753051,0.017997,0.180625,0.334868,0.334683,-0.333497,0.371332,58.16865
