,Unnamed: 0,# ID,MJD,YYYY,MM,DD,hh,mm,ssssssss,Duration_s,RA_(deg),Dec_(deg),Az_(deg),Ze_(deg),Az_uncorr_(deg),Ze_uncorr_(deg),Ze_correction_(deg),Obs_initial_vel_(km_per_s),Geocentric_vel_(km_per_s),RCS_(dBsm),SNR_(dB),Start_hgt_(km),End_hgt_(km),Az_of_start_point_(deg),Ze_of_start_point_(deg),Az_of_end_point_(deg),Ze_of_end_point_(deg),Semimajor_axis_(AU), Eccentricity,Perihelion_dist_(AU),Lon_of_asc_node_(deg),Inclination_(deg),Argument_of_periapsis_(deg),Period_(yr),Heliocentric_vel_(km_per_s), Radiant_ecl_lon_(deg), Radiant_ecl_lat_(deg),Sol_lon_(deg),RA_error_(deg),Dec_error_(deg),Az_error_(deg),Ze_error_(deg),Vel_error_(deg),Semimajor_axis_error_(AU),Eccentricity_error, Perihelion_dist_error_(AU),Inclination_error_(deg),Argument_of_periapsis_error_(deg),Period_error_(yr),Heliocentric_vel_error,Ecl_lon_error_(deg),Ecl_lat_error_(deg),Hammer_X,Hammer_Y, Time_from_Perihelion_(days),class,s-YYYY,s-MM,s-DD,s-hh,s-mm,s-ssss,az1(start)[deg]camera,az2(end)[deg]camera,ev1(start)[deg]camera,ev2(end)[deg]camera,flag,mag_iccd,mag_err,mag(original),duration[sec]camera,average_mag_iccd,abs_mag,average_abs_mag,average_abs_mag_err
83,83,1031811,55178.8288,2009,12,13,19,53,28.27648,0.19968,144.972088,28.208637,240.822958,12.351549,239.925899,11.920491,0.110774,58.858987,57.875356,-8.4006,23.917968,114.002245,102.474778,174.991223,3.569051,155.080504,3.609944,2.24129,0.886484,0.254423,261.807738,140.772975,305.313171,3.355422,38.069112,137.89763,13.444039,261.807738,0.917956,0.797946,2.644018,0.593393,0.132139,0.190905,0.013835,0.014237,2.148886,3.269214,0.430712,0.132139,0.917956,0.797946,0.579818,0.236671,-38.880614,  spo   ,2009,12,13,28,53,28.4,167.401123,142.554291,86.489998,86.225372,10,4.427536,0.363363,4.677115,0.183517,5.584545455,4.138753321,5.295762776,0.363363
84,84,1031827,55178.82967,2009,12,13,19,54,43.57768,0.18096,114.570391,31.561302,277.17691,35.816639,277.306105,34.4041,0.90629,35.655048,34.111889,-11.164919,25.509985,103.537287,98.016578,71.271901,2.288652,83.526741,4.444016,1.197613,0.894919,0.125846,261.808624,23.028434,327.85742,1.310613,33.073447,111.079565,9.903704,261.808624,1.651794,1.226815,1.59749,1.134665,0.479631,0.104284,0.010341,0.016979,3.852856,5.43427,0.171934,0.479631,1.651794,1.226815,1.03793,0.178853,-37.598588,  spo   ,2009,12,13,28,54,43.76666667,82.310631,84.376915,86.382942,85.856499,1,6.25708,0.319634,6.110769,0.083417,7.172,6.179863273,7.094783273,0.319634
85,85,1031865,55178.83145,2009,12,13,19,57,17.5372,0.27456,145.983911,30.553055,250.628214,11.108647,249.983038,10.690369,0.088713,62.306821,61.381312,-11.115004,28.044231,118.262402,101.395038,165.157339,2.343492,130.46561,3.122603,7.17738,0.95182,0.345806,261.810437,138.053707,289.284743,19.228654,41.590038,137.933892,15.948477,261.810437,0.463133,0.423108,1.786743,0.276556,0.057251,1.203952,0.008545,0.007085,1.001492,1.831141,4.903752,0.057251,0.463133,0.423108,0.574241,0.280469,-38.011808,  spo   ,2009,12,13,28,57,17.66666667,142.830582,136.988632,87.299049,87.12355,0,5.657468,0.469608,5.777812,0.083417,6.095,5.291417638,5.728949638,0.469608
86,86,1031927,55178.85634,2009,12,13,20,33,7.79768,0.22776,200.810859,1.033073,129.77211,46.09779,129.463629,45.91523,0.368733,64.187342,63.003271,-4.022302,35.791657,112.131774,101.948185,167.107468,4.065688,259.327966,3.555223,2.730129,0.845562,0.421636,261.835753,158.466635,75.654155,4.511021,39.016582,198.83184,9.081285,261.835753,0.072933,0.078509,0.048672,0.070729,0.083363,0.068997,0.003808,0.003392,0.159647,0.964955,0.171025,0.083363,0.072933,0.078509,-0.46315,0.159395,41.96108,  spo   ,2009,12,13,29,33,7.866666667,216.636978,229.949478,87.318886,87.241585,10,4.937229,0.188105,4.405213,0.083416,5.965,4.683113965,5.710884965,0.188105
87,87,1031994,55178.86075,2009,12,13,20,39,28.86512,0.25272,180.309589,16.869268,147.266529,20.727294,146.13441,20.670785,0.301088,46.706079,45.289347,-11.976026,27.301244,102.06375,91.410362,275.214343,1.866723,303.519397,4.201432,0.597666,0.648504,0.210077,261.84024,137.754571,1.763597,0.462048,18.102992,173.402551,15.563279,261.84024,0.443367,0.319664,1.131993,0.139515,0.041027,0.002619,0.006923,0.005058,0.984654,1.015568,0.003037,0.041027,0.443367,0.319664,-0.02406,0.270777,81.433281,  spo   ,2009,12,13,29,39,28.96666667,290.417908,306.454773,87.20768,84.902847,1,5.262301,0.184166,5.13406,0.183517,6.860909091,5.216790697,6.815398788,0.184166
88,88,1032011,55178.86223,2009,12,13,20,41,36.704,0.22464,180.259456,35.717524,81.329447,8.975425,81.668045,9.25422,0.07358,61.620908,60.551865,-8.325911,29.40567,113.583475,99.956439,80.583244,3.514713,80.092648,2.738613,2.7226,0.652809,0.945263,261.841745,122.096228,205.92645,4.492373,39.004754,164.259527,32.48536,261.841745,0.341265,0.315029,1.885151,0.264108,0.047158,0.13144,0.015884,0.004057,0.582487,2.582073,0.325789,0.047158,0.341265,0.315029,0.118449,0.559688,-19.324737,  spo   ,2009,12,13,29,41,36.7,81.987267,81.798996,86.72464,87.156662,0,4.251209,0.185334,4.082416,0.216884,5.733076923,3.97054505,5.452412973,0.185334
89,89,1032018,55178.86272,2009,12,13,20,42,18.56504,0.21528,161.311523,-28.249849,188.038595,63.574552,187.646962,63.001522,0.550264,63.095649,62.160252,1.408291,43.629304,115.096334,108.867613,199.943586,2.212042,0.742162,4.135886,4.10926,0.761817,0.978754,81.842237,122.61051,350.663143,8.330008,40.430959,175.15682,-33.129569,261.842237,0.084778,0.071619,0.074212,0.060849,0.128272,0.227578,0.013084,0.00039,0.188192,0.705787,0.693001,0.128272,0.084778,0.071619,-0.048348,-0.570267,6.937327,  spo   ,2009,12,13,29,42,18.6,349.561523,355.282745,88.292282,87.511559,1,4.175034,0.149788,4.163287,0.083416,5.23,3.868107818,4.923073818,0.149788
90,90,1032063,55178.86573,2009,12,13,20,46,38.75744,0.234,175.998013,33.559069,104.56742,4.667558,103.583605,4.962218,0.033725,65.50524,64.526975,-10.842678,28.65159,117.38833,102.149223,245.981194,1.988549,255.002372,2.91505,6.627592,0.860828,0.922376,261.845302,129.080409,210.252384,17.062146,41.463065,161.804641,28.950446,261.845302,0.217859,0.188801,1.769428,0.142282,0.014235,0.351571,0.00763,0.002139,0.245645,1.166676,1.358401,0.014235,0.217859,0.188801,0.160582,0.500367,-20.828853,  spo   ,2009,12,13,29,46,38.86666667,249.528702,254.720215,87.582649,86.936356,0,5.014728,0.185988,4.879321,0.116783,5.9625,4.665295285,5.613067285,0.185988
91,91,1032096,55178.86773,2009,12,13,20,49,31.65848,0.29016,163.489375,14.67277,201.145349,21.370575,200.319227,21.128837,0.136846,69.803359,68.967626,-3.7697,34.358317,125.749586,106.885015,134.117278,2.050567,56.769434,3.721014,4.171945,0.801505,0.828109,261.847337,166.925373,229.972174,8.52134,40.472304,159.16394,7.067907,261.847337,0.275245,0.252198,0.600556,0.195511,0.091773,0.245322,0.012442,0.005556,0.391454,2.046178,0.752757,0.091773,0.275245,0.252198,0.222484,0.123454,-32.085407,  spo   ,2009,12,13,29,49,31.83333333,66.936264,51.864422,87.0914,85.645096,1,4.695266,0.213984,4.491421,0.15015,6.123333333,4.196342204,5.624409537,0.213984
92,92,1032108,55178.8682,2009,12,13,20,50,12.19664,0.19032,152.250126,-0.274272,211.198223,39.454126,210.753279,39.047033,0.276355,67.745931,66.957025,-7.272999,40.567749,103.498787,93.553358,219.726503,2.914865,14.642632,1.813568,3.743009,0.809876,0.711636,81.847814,158.64165,67.617317,7.241545,40.160924,154.332862,-10.928872,261.847814,0.290912,0.307211,0.327463,0.239392,0.232021,0.403433,0.020174,0.00959,0.541055,3.265715,1.177197,0.232021,0.290912,0.307211,0.303663,-0.191024,-38.610014,  spo   ,2009,12,13,29,50,12.2,255.158737,327.79599,89.294006,89.44651,0,6.970875,0.215568,5.174402,0.083416,7.9375,6.893387425,7.860012425,0.215568
