,ID,day_tomoe,theta,distance,az1[deg]_sensor,el1[deg]_sensor,az2[deg]_sensor,el2[deg]_sensor,az3[deg]_sensor,el3[deg]_sensor,az4[deg]_sensor,el4[deg]_sensor
39,575923_115,18,14.58062448,0.990823872,235.7011499,27.50704092,235.4199026,27.23180423,234.8679667,27.67386529,235.1487238,27.95001817
40,576013_041,18,0.272900498,0.154019533,235.0137027,28.05899746,234.7328907,27.78182479,234.1752404,28.22073125,234.45569,28.49838719
41,576022_041,18,0.072864439,0.145686426,235.3097702,26.73643476,235.0306769,26.46175143,234.4828536,26.90456429,234.76308,27.18010097
42,576031_041,18,0.350399453,0.137475948,235.6014447,25.41795832,235.3260748,25.14247288,234.7834593,25.58387411,235.0585465,25.86013522
43,576526_116,18,39.33348111,4.822889589,237.5606846,29.27224863,237.270125,29.00136375,236.7170396,29.45072406,237.0071834,29.72317081
44,576712_067,18,1.510347115,0.074430661,234.6275128,27.28720077,234.3488708,27.01029758,233.7951095,27.44822377,234.072839,27.72649333
45,576722_067,18,2.335989864,0.034982054,235.5270929,26.56014498,235.2471847,26.28569047,234.7019433,26.73005505,234.981961,27.00497907
46,577044_018,18,3.022727771,0.069990756,237.8818824,26.81144608,237.5974246,26.54010877,237.0572611,26.99054153,237.3411375,27.26222518
47,577044_019,18,3.613987361,0.081832983,237.8819451,26.81158014,237.5976906,26.54017635,237.0572648,26.99030923,237.3415518,27.26217825
48,577414_032,18,3.15095344,1.791259969,234.7409407,29.35650797,234.4575426,29.07878532,233.8918324,29.5162427,234.1745082,29.79454089
49,577414_032,18,0.663292596,0.041367518,234.7409407,29.35650797,234.4575426,29.07878532,233.8918324,29.5162427,234.1745082,29.79454089
50,577523_013,18,67.19914044,1.330436222,235.2690301,27.86218693,234.9884048,27.58562221,234.4330565,28.02514216,234.7120977,28.30153489
51,578011_016,18,1.494985324,0.22433365,232.9382338,27.54947092,232.6663721,27.26723653,232.100006,27.69547179,232.3723822,27.97832587
52,578011_017,18,1.541867882,0.216754476,232.9382939,27.54972565,232.6660115,27.26707164,232.1001134,27.69563111,232.3721412,27.97844372
53,578012_016,18,1.376106829,0.196246267,233.5335605,28.15321717,233.2574058,27.87382559,232.6924049,28.30553094,232.9693426,28.5868736
54,578021_073,18,2.240466595,0.107143008,233.8532524,26.83719854,233.5780395,26.55861685,233.0233276,26.99317878,233.2969859,27.27245298
55,578114_038,18,0.761218641,0.133689641,234.9665318,29.18088321,234.6827725,28.90486867,234.1199287,29.34265507,234.4023265,29.62124178
56,578141_037,18,24.15163004,1.540194101,235.8623711,25.22355499,235.5872694,24.94722433,235.045614,25.38903447,235.3204956,25.66537928
57,578812_050,18,27.58324855,0.920005679,233.9727899,27.81210868,233.6954966,27.53305099,233.1346752,27.96777798,233.4117416,28.24804376
58,578823_049,18,10.67324969,1.761553471,235.4875707,27.68812547,235.2073871,27.41193115,234.6533691,27.85242107,234.9338312,28.12880054
