Ver,Group,LocalTime,Mag,Dur(sec),AV(deg/s),Loc_Cam,TZ(h),Y(JST),M(JST),D(UT),H(UT),D(JST),H(JST),M,S, Dir1, Alt1, Ra1, Dec1, Ra2, Dec2,alpha,delta, , , , , ,io,err1,err2,G1,dd(deg),dr(deg),Vo(km/s),dV(%),ra_m,dec_m,refs,errm,rat,dct,voo,vooerr,tmerr,sps,sN,drop
R05B25, Iw_ABO,20180422_021049,2.6,0.517,8.071, Osaka03_12,9,2018,4,21,17,22,2,10,50,275.9,45.6,290.707886,20.180758,295.076996,19.429092,84.549522,67.731529,1168910973,204029244,1359460841,1340723985,1451179064,3,0.01132,0.00697, Iw_ABO,0,0.3,18.4,-22.3,292.412872,19.900925,124,0.35,173.86705,-2.26224,18.73,-1,1,59.94,22,0
R05B25, Iw_XLI,20180422_023039,3.9,0.15,15.586, Osaka03_12,9,2018,4,21,17,22,2,30,40,256.6,45.4,301.981354,32.507561,304.373413,33.742687,351.619232,-45.461994,2676799192,1439653936,1132547569,2512371645,1152049797,3,0.00926,0.00303, Iw_XLI,0,2.1,37.9,5.4,303.282166,33.189205,124,0.32,255.98027,-5.80778,46.09,-1,1,59.94,9,0
R05B25, spo,20180422_023731,3.2,0.083,16.07, Osaka03_12,9,2018,4,21,17,22,2,37,32,268.8,55.9,289.284485,28.590992,289.855957,29.897249,9.005331,-18.129072,1168398629,204029244,1359564357,1340512788,1421771596,3,0.01088,0.00313, spo,0,-1,-1,-1,289.505859,29.10125,141,0.34,0,0,-1,-1,1,59.94,6,0
R05B25, Iw_ZCY,20180422_024531,4.1,0.167,7.147, Osaka03_12,9,2018,4,21,17,22,2,45,32,274.6,54.1,291.653473,24.850994,290.958038,23.833027,6.915827,-28.778841,2683524628,1439653936,1139913322,2508976260,1167112911,3,0.00947,0.00596, Iw_ZCY,0,2.6,39.2,-3.4,291.316193,24.359692,144,0.3,304.00223,39.4588,50.92,-1,1,59.94,11,0
R05B25, J5_Lyr,20180422_031710,0.3,0.45,10.144, Osaka03_12,9,2018,4,21,18,22,3,17,11,270.9,54.9,299.776154,27.107513,304.485779,25.389425,79.546982,56.158844,1172310119,204029244,1367008141,1339727671,1467975088,3,0.01003,0.00292, J5_Lyr,0,0.3,49.7,3.6,302.096283,26.286676,140,0.29,264.10248,33.74038,37.69,-1,1,59.94,26,0
R05B25, spo,20180422_032021,4.7,0.1,17.125, Osaka03_12,9,2018,4,21,18,22,3,20,22,300.1,47.5,296.473785,7.928988,298.154114,8.518513,185.221649,68.990326,2683101301,1439653936,1133034999,2511667583,1163235032,3,0.00969,0.00596, spo,0,-1,-1,-1,297.318207,8.220668,130,0.3,0,0,-1,-1,1,59.94,5,0
R05B25, spo,20180422_032833,4,0.1,11.502, Osaka03_12,9,2018,4,21,18,22,3,28,34,285.5,54.4,298.881866,19.340996,299.44516,20.332579,18.884718,-26.316381,1174087044,204029244,1367061154,1339573453,1464869291,3,0.00955,0.0057, spo,0,-1,-1,-1,299.169342,19.84881,116,0.31,237.18286,-62.56338,22.44,-1,1,59.94,7,0
R05B25, J5_etA,20180422_033049,1.3,0.517,16.828, Osaka03_12,9,2018,4,21,18,22,3,30,50,270.5,51.7,306.561401,26.100334,299.318817,32.22039,59.741955,38.781418,2678514256,1439653936,1132953940,2510701511,1179803619,3,0.01097,0.00297, J5_etA,0,3.7,57.1,-13.9,303.474792,28.845798,128,0.3,331.22104,-1.7191,58.71,-1,1,59.94,32,0
R05B25, Iw_ABO,20180422_033444,0.6,0.133,11.246, Osaka03_12,9,2018,4,21,18,22,3,34,45,297.7,44.7,303.297546,7.186125,304.745636,6.772923,56.936623,72.544624,1171639012,204029244,1366674388,1338101925,1449870073,3,0.00982,0.00365, Iw_ABO,0,1.7,25.8,8.8,304.02475,6.979266,115,0.34,204.52972,13.58484,26.09,-1,1,59.94,9,0
R05B25, spo,20180422_034026,4.1,0.067,9.855, Osaka03_12,9,2018,4,21,18,22,3,40,27,283.2,47.9,308.367798,17.106373,308.217224,17.727701,42.022175,11.728766,2656256464,1439653936,1134176807,2511065566,1159515932,3,0.01094,0.007, spo,0,-1,-1,-1,308.292419,17.397068,122,0.33,0,0,-1,-1,1,59.94,5,0
R05B25, spo,20180422_035319,3.4,0.184,3.333, Osaka03_12,9,2018,4,21,18,22,3,53,20,280.3,49,311.713379,19.298725,312.073944,19.825006,29.696165,-30.735018,1143302227,204029244,1365801231,1311883880,1473019842,3,0.01006,0.01005, spo,0,-1,-1,-1,311.869537,19.527185,105,0.31,306.1181,9.77152,40.2,-1,1,59.94,12,0
R05B25, Iw_MDR,20180422_035519,3.8,0.133,8.185, Osaka03_12,9,2018,4,21,18,22,3,55,20,286.7,46.5,311.93045,14.336321,312.409729,13.357473,48.661457,24.636742,2655503366,1439653936,1134550340,2488305058,1163335958,3,0.00998,0.00683, Iw_MDR,0,4.2,23.5,-22.4,312.173767,13.840522,107,0.28,149.71788,26.74601,23.24,-1,1,59.94,9,0
R05B25, spo,20180422_040449,2.1,0.25,10.98, Osaka03_12,9,2018,4,21,19,22,4,4,50,280.9,50.1,313.41745,19.51355,314.961029,21.895271,32.087818,-29.001791,1143968891,204029244,1365703266,1312064121,1462386376,3,0.00996,0.00431, spo,0,-1,-1,-1,314.093018,20.566868,95,0.26,300.7558,-2.6159,60.11,-1,1,59.94,16,0
R05B25, J5_Lyr,20180422_041128,2.9,0.1,9.099, Osaka03_12,9,2018,4,21,19,22,4,11,29,268.6,57,311.624969,29.06636,312.613312,28.629328,85.822937,51.434914,2655258546,1439653936,1134522314,2488277833,1174890866,3,0.01167,0.00261, J5_Lyr,0,4.9,43.2,-9.9,311.941406,28.927616,81,0.24,0,0,-1,-1,1,59.94,6,0
R05B25, spo,20180422_042543,4.2,0.384,7.065, Osaka03_12,9,2018,4,21,19,22,4,25,44,272.9,42.6,328.465912,20.582338,326.7435,18.503193,222.964615,35.439495,1145379147,204029244,1364255742,1309792154,1449016767,3,0.00766,0.00796, spo,0,-1,-1,-1,327.60144,19.547539,19,0.28,113.91398,4.98335,22,-1,1,59.94,8,0
R05B25, J5_etA,20180422_043826,2.5,0.2,8.895, Osaka03_12,9,2018,4,21,19,22,4,38,27,286.4,44.4,324.638458,13.195926,324.304169,14.975236,57.011051,10.012747,2651781098,1439653936,1134721185,2487797431,1162946768,3,0.02875,0.0152, J5_etA,0,1.3,77.9,17.5,324.479553,14.045199,3,0.14,329.15524,-11.11062,54.83,-1,1,59.94,12,0
R05B25, J5_Lyr,20180422_024552,-1.7,2.119,4.644, Osaka03_12,9,2018,4,21,17,22,2,45,53,264,62.5,284.879517,32.832623,287.657288,32.494911,91.290993,56.422028,1162585089,204029244,1359950111,1342108151,1423609871,3,0.01029,0.01001, J5_Lyr,0,0.1,51,6.3,287.877991,32.46534,102,0.26,0,0,-1,-1,1,59.94,57,0
