Ver,Group,LocalTime,Mag,Dur(sec),AV(deg/s),Loc_Cam,TZ(h),Y(JST),M(JST),D(UT),H(UT),D(JST),H(JST),M,S, Dir1, Alt1, Ra1, Dec1, Ra2, Dec2,alpha,delta,1,2,3,4,5,io,err1,err2,G1,dd(deg),dr(deg),Vo(km/s),dV(%),ra_m,dec_m,refs,errm,rat,dct,voo,vooerr,tmerr,sps,sN,drop
R05B25, spo,20180421_010708,0.7,0.384,14.88, Osaka03_12,9,2018,4,20,16,21,1,7,8,282.6,54.3,263.4953,20.839201,259.820831,25.462706,7.708786,32.823936,1160811651,204029244,1362071531,1335216756,1466437793,3,0.01056,0.00266, spo,0,-1,-1,-1,261.898834,22.89765,108,0.31,280.56369,-4.47027,61.59,-1,1,59.94,24,0
R05B25, sm_010,20180421_013931,1.7,0.334,6.848, Osaka03_12,9,2018,4,20,16,21,1,39,31,271.8,36.5,291.874908,18.386124,290.674011,16.418764,11.390148,-28.699665,2683473975,1439653936,1139933542,2508866787,1136220617,3,0.00974,0.00395, sm_010,0,0.4,46,1.4,291.282104,17.421162,110,0.31,329.10452,50.33492,26.95,-1,1,59.94,21,0
R05B25, Iw_XLI,20180421_015458,3.4,0.184,10.737, Osaka03_12,9,2018,4,20,16,21,1,54,58,281.1,43.2,285.950714,15.770875,287.651062,16.856482,353.906555,-53.039196,1169263744,204029244,1359913134,1340145403,1445707002,3,0.01049,0.00694, Iw_XLI,0,1,29.1,-19,286.698822,16.251671,118,0.31,263.31888,-0.6433,63.29,-1,1,59.94,12,0
R05B25, J5_Lyr,20180421_020052,2.4,0.117,8.681, Osaka03_12,9,2018,4,20,17,21,2,0,52,276,41.9,290.621735,18.328712,291.370819,17.622297,38.287148,42.490677,2681029863,1439653936,1139813572,2508843212,1143996822,3,0.01039,0.00384, J5_Lyr,0,0.3,63,31.2,290.949554,18.020615,127,0.36,128.39,0.41298,53.83,-1,1,59.94,8,0
R05B25, Iw_DAL,20180421_022525,3.2,0.1,10.791, Osaka03_12,9,2018,4,20,17,21,2,25,25,269.8,53.3,287.781189,27.092516,286.807526,27.793995,46.879536,43.550453,1170011825,204029244,1359704743,1340307468,1467725268,3,0.00968,0.00431, Iw_DAL,0,4.6,40.5,-39.6,287.311066,27.433176,135,0.28,336.64291,-18.18938,25.08,-1,1,59.94,7,0
R05B25, spo,20180421_022600,3.7,0.517,7.058, Osaka03_12,9,2018,4,20,17,21,2,26,0,280.3,44.9,292.539246,17.173721,293.737396,13.755067,28.288137,17.958525,2683731711,1439653936,1140031100,2509078533,1156942129,3,0.00986,0.01146, spo,0,-1,-1,-1,292.973541,15.948467,141,0.35,153.4248,68.2403,15.25,-1,1,59.94,21,0
R05B25, spo,20180421_023629,0.7,0.5,2.318, Osaka03_12,9,2018,4,20,17,21,2,36,29,266.2,52.2,292.548981,28.741114,291.483002,28.026112,350.070099,-44.396751,1167564238,204029244,1359247334,1340887050,1460910076,3,0.01104,0.0046, spo,0,-1,-1,-1,292.05011,28.408731,158,0.29,310.72421,35.02588,18.92,-1,1,59.94,31,0
R05B25, J5_Lyr,20180421_030010,1.4,0.3,6.542, Osaka03_12,9,2018,4,20,18,21,3,0,10,255.9,59.2,292.19635,36.109982,294.624603,36.239235,119.784027,53.649784,2683599130,1439653936,1139998460,2508908951,1174694947,3,0.0102,0.00293, J5_Lyr,0,0.9,41.8,-12.8,293.347229,36.17741,163,0.28,272.1713,33.21605,43.47,-1,1,59.94,19,0
R05B25, Iw_ZCY,20180421_030222,4.4,0.117,5.1, Osaka03_12,9,2018,4,20,18,21,3,2,22,269,59.7,290.33667,29.772137,290.018982,29.215652,6.430666,-22.787903,1168786850,204029244,1359426804,1340643415,1422947857,3,0.01048,0.01029, Iw_ZCY,0,2.3,30.5,-24.8,290.207672,29.547012,153,0.35,303.44049,46.30679,30.29,-1,1,59.94,8,0
R05B25, J5_Lyr,20180421_031029,4.2,0.067,9.93, Osaka03_12,9,2018,4,20,18,21,3,10,29,260.1,42.3,313.355225,29.005024,314.10141,28.797237,100.009949,56.427391,2655917347,1439653936,1133639509,2488618003,1155839395,3,0.00965,0.00256, J5_Lyr,0,0.5,44.1,-8,313.726044,28.901875,155,0.3,0,0,-1,-1,1,59.94,5,0
R05B25, spo,20180421_033200,0.3,2.886,0.538, Osaka03_12,9,2018,4,20,18,21,3,31,60,272.8,57.3,299.568787,27.001026,300.411957,25.948441,47.718361,31.438429,1174354615,204029244,1366994999,1339749494,1418353475,3,0.00951,0.01312, spo,0,-1,-1,-1,299.885864,26.60803,126,0.31,0,0,-1,-1,1,59.94,113,0
R05B25, Iw_SLE,20180421_035417,3.7,0.167,7.662, Osaka03_12,9,2018,4,20,18,21,3,54,17,267.5,54,309.787964,28.619144,311.195038,28.254175,98.716957,57.500835,2656802597,1439653936,1134313085,2511116879,1168431171,3,0.00916,0.00613, Iw_SLE,0,0.3,16.1,-37,310.469849,28.444397,116,0.3,287.05896,32.23521,49.2,-1,1,59.94,11,0
R05B25, spo,20180421_035531,3.3,0.25,5.225, Osaka03_12,9,2018,4,20,18,21,3,55,31,251.5,53.3,313.910919,37.592484,315.582642,37.571228,133.239838,52.405617,1142083130,204029244,1365619056,1312133492,1465907973,3,0.01081,0.00391, spo,0,-1,-1,-1,314.645905,37.586044,122,0.27,296.23489,36.49075,44.84,-1,1,59.94,16,0
R05B25, Iw_ZCY,20180421_040144,3.9,0.133,8.533, Osaka03_12,9,2018,4,20,19,21,4,1,44,286.8,38.5,319.073639,9.521691,319.394623,8.447801,51.874321,16.241341,2658072005,1439653936,1135236691,2489197636,1141885776,3,0.0108,0.01391, Iw_ZCY,0,0.3,38.6,-4.8,319.241547,8.960775,109,0.27,0,0,-1,-1,1,59.94,9,0
R05B25, spo,20180421_040344,3.2,0.1,14.999, Osaka03_12,9,2018,4,20,19,21,4,3,44,264.7,40.4,327.038849,25.096296,328.542053,24.998096,137.449661,64.592644,1146963607,204029244,1364363979,1311678292,1446665003,1,0.01104,0.0045, spo,0,-1,-1,-1,327.86377,25.040462,119,0.32,247.11243,8.92524,41.96,-1,1,59.94,7,0
R05B25, Iw_DLI,20180421_040426,2.7,0.133,9.255, Osaka03_12,9,2018,4,20,19,21,4,4,26,275.5,35.3,327.727356,15.14942,328.992401,15.394289,185.657959,71.05484,2652943765,1439653936,1135017300,2488181495,1136571347,1,0.00932,0.0039, Iw_DLI,0,4.2,26.7,-12.3,328.349518,15.270807,108,0.26,269.2312,-3.30621,30.44,-1,1,59.94,9,0
R05B25, spo,20180421_044739,4.8,0.133,8.917, Osaka03_12,9,2018,4,20,19,21,4,47,39,271.5,50.8,325.485992,25.083378,326.536438,24.359587,84.881653,46.359501,1146371058,204029244,1364476091,1311475345,1460769491,3,-1,0.00438, spo,0,-1,-1,-1,326.125916,24.644323,0,-1,0,0,-1,-1,1,59.94,6,0
