Ver,Group,LocalTime,Mag,Dur(sec),AV(deg/s),Loc_Cam,TZ(h),Y(UT),M(UT),D(UT),H(UT),M,S, Dir1, Alt1, Ra1, Dec1, Ra2, Dec2,alpha,delta, , , , , ,io,err1,err2,G1,dd(deg),dr(deg),Vo(km/s),dV(%),ra_m,dec_m,refs,errm,rat,dct,voo,vooerr,tmerr,sps,sN,drop
R05B25, spo,20180421_224156,2.0,0.384,11.804, CB4_35, 9.0,2018,04,21,13,41,56.710,50.5,42.4,157.717804,0.858412,153.004288,0.959615,281.833588,88.469742,1282886999,1963518256,2730531661,661075150,2723675892,3,0.00804,0.00623, spo,0.0,-1.0,-1.0,-1.0,155.636459,0.903858,117,2.33,203.05545,-1.11127,39.120,-1.000,1.000,59.940,24,-1
R05B25, spo,20180421_233118,1.2,0.651,3.401, CB4_35, 9.0,2018,04,21,14,31,18.960,30.4,35.4,179.730698,-13.301406,179.960403,-15.415641,88.347214,-5.831125,109417765,1723757884,2804401420,1848857765,2801829681,3,0.01003,0.00265, spo,0.0,-1.0,-1.0,-1.0,179.838226,-14.294087,131,5.51,176.90916,-0.17214,32.840,-1.000,1.000,59.940,40,-1
R05B25, J5_Lyr,20180421_233829,0.0,2.252,15.133, CB4_35, 9.0,2018,04,21,14,38,29.930,55.3,40.1,167.664200,1.421108,163.579407,-1.488871,75.669403,54.522610,744603709,1179114544,751910243,1121913429,751385221,3,0.00905,0.01936, J5_Lyr,0.0,1.0,46.2,-3.7,164.981689,-0.490109,108,4.73,306.35672,24.32369,66.210,-1.000,1.000,59.940,25,-1
R05B25, J5_Lyr,20180421_235439,2.8,0.150,10.974, CB4_35, 9.0,2018,04,21,14,54,39.710,40.2,27.4,173.996002,-16.199251,172.374680,-17.158209,108.118195,54.592911,1577284896,2911543612,1487207518,834693730,1507063141,3,0.00932,0.00231, J5_Lyr,0.0,1.1,42.9,-10.6,173.359467,-16.578388,239,1.65,0.00000,0.00000,-1.000,-1.000,1.000,59.940,10,-1
R05B25, spo,20180421_235644,1.7,0.918,19.146, CB4_35, 9.0,2018,04,21,14,56,44.670,61.6,42.7,170.639114,6.566437,166.219604,-3.998357,77.879066,22.504372,3296748447,722593840,175826417,2882558956,169393979,3,0.00912,0.01412, spo,0.0,-1.0,-1.0,-1.0,168.386200,1.223857,95,17.19,187.45197,39.68728,64.250,-1.000,1.000,59.940,56,-1
R05B25, spo,20180422_000009,2.6,0.267,9.327, CB4_35, 9.0,2018,04,21,15,00,9.510,65.2,32.8,162.305649,1.883804,160.400635,2.529031,257.834045,71.149925,806175541,1176855868,907888073,1515434273,936276893,3,0.01015,0.00325, spo,0.0,-1.0,-1.0,-1.0,161.325058,2.216304,106,7.70,200.63860,-11.45350,44.390,-1.000,1.000,59.940,15,-1
R05B25, spo,20180422_001136,2.2,0.350,10.572, CB4_35, 9.0,2018,04,21,15,11,36.600,63.7,23.2,159.060318,-5.658715,155.320480,-4.217516,234.638458,68.305397,896976756,3447222320,3221753048,1605997808,3270962163,3,0.00918,0.00232, spo,0.0,-1.0,-1.0,-1.0,157.432632,-5.034829,90,8.20,0.00000,0.00000,-1.000,-1.000,1.000,59.940,22,-1
R05B25, spo,20180422_003205,0.6,0.284,11.012, CB4_35, 9.0,2018,04,21,15,32,5.410,61.2,36.7,175.373337,2.165338,172.236862,1.227129,78.154549,73.253616,3982954565,4026142012,3578216,2239631246,3682624,3,0.01006,0.00173, spo,0.0,-1.0,-1.0,-1.0,173.961533,1.743776,101,16.97,244.76357,15.67586,31.810,-1.000,1.000,59.940,18,-1
R05B25, spo,20180422_004114,1.7,0.200,5.735, CB4_35, 9.0,2018,04,21,15,41,14.030,40.5,28.4,186.032639,-15.224436,185.930496,-16.424177,97.261200,4.504618,170491888,2718990384,2651834502,1617996558,2679523724,3,0.01000,0.02951, spo,0.0,-1.0,-1.0,-1.0,185.985428,-15.780625,101,1.64,0.00000,0.00000,-1.000,-1.000,1.000,59.940,14,-1
R05B25, spo,20180422_004813,-0.2,0.584,9.634, CB4_35, 9.0,2018,04,21,15,48,13.990,53.7,40.2,186.111450,0.739187,183.523956,-4.847600,95.769859,24.800690,2121720942,652336444,2677104582,338364575,2681090217,3,0.00942,0.00804, spo,0.0,-1.0,-1.0,-1.0,184.929092,-1.818849,107,1.79,207.36172,40.18117,32.280,-1.000,1.000,59.940,36,-1
R05B25, spo,20180422_010133,2.8,0.450,4.629, CB4_35, 9.0,2018,04,21,16,01,33.100,34.2,34.2,198.936050,-12.963969,197.741730,-14.739081,117.229179,32.069569,2090981501,2608308272,943652663,412075174,946008286,3,0.01008,0.00355, spo,0.0,-1.0,-1.0,-1.0,198.405365,-13.756784,102,3.85,210.80344,6.49518,29.380,-1.000,1.000,59.940,28,-1
R05B25, J5_Lyr,20180422_010903,0.1,0.117,15.472, CB4_35, 9.0,2018,04,21,16,09,3.880,63.8,40.0,185.625763,5.888064,183.964294,4.580217,88.210693,51.371540,825086687,42499388,2795125627,1532373936,2787833816,3,0.00980,0.00131, J5_Lyr,0.0,5.2,43.2,-10.0,185.041611,5.429377,102,1.80,0.00000,0.00000,-1.000,-1.000,1.000,59.940,8,-1
