Ver,Group,LocalTime,Mag,Dur(sec),AV(deg/s),Loc_Cam,TZ(h),Y(UT),M(UT),D(UT),H(UT),M,S, Dir1, Alt1, Ra1, Dec1, Ra2, Dec2,alpha,delta, , , , , ,io,err1,err2,G1,dd(deg),dr(deg),Vo(km/s),dV(%),ra_m,dec_m,refs,errm,rat,dct,voo,vooerr,tmerr,sps,sN,drop
R05B25, spo,20180421_211232,-3.3,0.150,7.044, CB4_35, 9.0,2018,04,21,12,12,32.760,39.5,31.2,136.042435,-13.307249,135.982590,-14.498832,46.683750,2.709345,1341741931,1555844878,1992301131,410696996,1991818036,3,0.03963,0.00099, spo,0.0,-1.0,-1.0,-1.0,136.018890,-13.777472,3,11.79,0.00000,0.00000,-1.000,-1.000,1.000,59.940,10,-1
R05B25, spo,20180421_221936,5.5,0.217,34.517, CB4_35, 9.0,2018,04,21,13,19,36.610,53.2,26.4,140.169113,-10.009179,141.225327,-7.538382,54.385597,22.616169,119606549,1326734434,3250461578,1373065369,3238259088,3,0.00244,0.11468, spo,0.0,-1.0,-1.0,-1.0,140.694077,-8.785606,39,0.23,0.00000,0.00000,-1.000,-1.000,1.000,59.940,7,-1
R05B25, spo,20180421_222604,4.9,0.117,5.723, CB4_35, 9.0,2018,04,21,13,26,4.000,54.4,33.4,145.595276,-4.009418,144.872070,-4.461786,61.949757,57.654381,2755449587,2905597580,791320785,4046340341,789757337,3,0.00275,0.00104, spo,0.0,-1.0,-1.0,-1.0,145.375946,-4.146735,53,0.27,0.00000,0.00000,-1.000,-1.000,1.000,59.940,8,-1
R05B25, spo,20180421_222733,4.8,0.284,8.377, CB4_35, 9.0,2018,04,21,13,27,33.520,47.3,34.9,151.477890,-6.613648,150.031250,-8.466845,66.554298,37.349216,3960422249,137601192,4202436014,3088646633,4221738385,3,-1.00000,0.00083, spo,0.0,-1.0,-1.0,-1.0,150.720123,-7.586945,0,0.24,194.00560,39.26019,26.450,-1.000,1.000,59.940,19,-1
R05B25, spo,20180421_230439,3.7,0.300,9.283, CB4_35, 9.0,2018,04,21,14,04,39.750,42.3,26.4,159.296173,-15.950903,156.651520,-15.642007,182.002197,72.785400,1156429683,2629444648,3409577627,772864859,3390164927,3,0.00278,0.00128, spo,0.0,-1.0,-1.0,-1.0,157.927582,-15.795161,91,0.31,0.00000,0.00000,-1.000,-1.000,1.000,59.940,19,-1
R05B25, spo,20180421_230637,4.0,0.150,6.658, CB4_35, 9.0,2018,04,21,14,06,37.070,50.9,24.7,152.389740,-12.608441,152.044998,-13.517430,66.990700,19.728657,3257453534,1949267540,2947701185,2522413025,2930507426,3,-1.00000,0.00082, spo,0.0,-1.0,-1.0,-1.0,152.246841,-12.986099,0,0.32,0.00000,0.00000,-1.000,-1.000,1.000,59.940,9,-1
R05B25, spo,20180421_231833,4.4,0.217,4.821, CB4_35, 9.0,2018,04,21,14,18,33.950,54.7,30.8,156.853577,-5.844827,156.409714,-6.996647,69.083946,20.815599,134512508,2315088544,2719462100,1668316612,2744961138,3,0.00252,0.00166, spo,0.0,-1.0,-1.0,-1.0,156.725342,-6.178176,95,0.31,0.00000,0.00000,-1.000,-1.000,1.000,59.940,12,-1
R05B25, spo,20180421_232045,3.0,0.217,9.435, CB4_35, 9.0,2018,04,21,14,20,45.810,50.8,29.8,159.332123,-8.737739,157.233032,-8.523092,192.855789,79.554077,3250781559,3673096172,3969421757,2872982961,3977093144,3,0.00282,0.00217, spo,0.0,-1.0,-1.0,-1.0,158.506287,-8.654683,108,0.31,0.00000,0.00000,-1.000,-1.000,1.000,59.940,14,-1
R05B25, spo,20180421_233133,2.6,0.184,7.554, CB4_35, 9.0,2018,04,21,14,31,33.970,49.0,29.1,162.851349,-10.275544,162.053513,-11.588483,78.908760,30.202715,3946668471,1208341008,1916978847,2164599753,1931703902,3,-1.00000,0.00066, spo,0.0,-1.0,-1.0,-1.0,162.532822,-10.801352,0,0.30,210.03825,49.79895,25.570,-1.000,1.000,59.940,12,-1
R05B25, spo,20180421_233246,4.1,0.517,6.072, CB4_35, 9.0,2018,04,21,14,32,46.400,58.1,28.1,156.373199,-5.759222,153.278915,-6.492858,88.941750,75.275948,4049290183,827440028,4206647861,2583918614,4227442650,3,-1.00000,0.00110, spo,0.0,-1.0,-1.0,-1.0,154.834320,-6.126550,0,0.35,285.69324,11.95529,24.850,-1.000,1.000,59.940,31,-1
