Ver,Group,LocalTime,Mag,Dur(sec),AV(deg/s),Loc_Cam,TZ(h),Y(UT),M(UT),D(UT),H(UT),M,S, Dir1, Alt1, Ra1, Dec1, Ra2, Dec2,alpha,delta, , , , , ,io,err1,err2,G1,dd(deg),dr(deg),Vo(km/s),dV(%),ra_m,dec_m,refs,errm,rat,dct,voo,vooerr,tmerr,sps,sN,drop
R05B25, spo,20180419_225435,-2.3,0.450,15.812, CB4_35, 9.0,2018,04,19,13,54,35.440,59.7,41.6,153.268127,4.801664,148.353394,-1.171966,59.315323,39.373505,2598583979,1439653936,1128461878,4048965646,1131935867,3,0.00572,0.00131, spo,0.0,-1.0,-1.0,-1.0,151.124100,2.202666,43,4.68,191.47742,39.59990,54.840,-1.000,1.000,59.940,26,-1
R05B25, spo,20180419_225813,0.7,0.584,6.871, CB4_35, 9.0,2018,04,19,13,58,13.930,32.3,23.0,162.048508,-23.671898,161.560120,-25.805220,76.778481,10.652818,1087744820,204029244,1369911722,714811904,1399281045,3,0.00742,0.04607, spo,0.0,-1.0,-1.0,-1.0,161.673737,-25.315577,59,8.83,0.00000,0.00000,-1.000,-1.000,1.000,59.940,37,-1
R05B25, spo,20180419_232308,4.3,0.217,5.587, CB4_35, 9.0,2018,04,19,14,23,8.910,57.9,25.0,149.983093,-8.121860,149.619064,-8.567265,66.494553,38.471706,2597316843,1439653936,1129183829,3459836224,1113307367,3,0.00819,0.00227, spo,0.0,-1.0,-1.0,-1.0,149.703766,-8.463759,56,14.42,0.00000,0.00000,-1.000,-1.000,1.000,59.940,9,-1
R05B25, spo,20180419_233123,2.1,0.284,8.904, CB4_35, 9.0,2018,04,19,14,31,23.340,53.7,25.4,155.150070,-10.436757,153.128250,-12.455457,75.165657,43.355476,1083042068,204029244,1370667232,726762187,1353424191,3,0.00855,0.00159, spo,0.0,-1.0,-1.0,-1.0,154.414825,-11.175777,40,1.86,225.27020,42.88590,34.580,-1.000,1.000,59.940,18,-1
R05B25, spo,20180419_233335,2.7,0.584,8.332, CB4_35, 9.0,2018,04,19,14,33,35.500,33.4,31.8,174.383575,-15.384226,172.609940,-18.215593,93.334717,29.487392,2642170790,1439653936,1130561314,4071340931,1122128537,3,0.00740,0.04689, spo,0.0,-1.0,-1.0,-1.0,173.476334,-16.844971,45,0.35,0.00000,0.00000,-1.000,-1.000,1.000,59.940,37,-1
R05B25, spo,20180419_234552,4.0,0.250,3.302, CB4_35, 9.0,2018,04,19,14,45,52.980,60.9,27.2,155.221725,-4.705253,154.989639,-5.556728,66.496559,15.125957,1083012629,204029244,1370659868,726930209,1358291330,3,0.00801,0.00222, spo,0.0,-1.0,-1.0,-1.0,155.135284,-5.022638,48,10.00,0.00000,0.00000,-1.000,-1.000,1.000,59.940,16,-1
R05B25, spo,20180419_234634,1.4,0.717,4.445, CB4_35, 9.0,2018,04,19,14,46,34.700,54.6,30.5,161.736084,-6.066936,161.458054,-6.194041,84.672966,64.604042,2595396456,1439653936,1130352406,4040031236,1121016854,3,0.00683,0.07165, spo,0.0,-1.0,-1.0,-1.0,161.295639,-6.268196,45,0.32,0.00000,0.00000,-1.000,-1.000,1.000,59.940,18,-1
R05B25, spo,20180419_235752,1.9,0.384,7.758, CB4_35, 9.0,2018,04,19,14,57,52.470,63.4,23.3,153.860657,-5.745369,152.437729,-7.088666,69.518478,44.417343,1082484667,204029244,1370795452,722689205,1398546525,3,0.00763,0.04641, spo,0.0,-1.0,-1.0,-1.0,153.065521,-6.543043,46,10.48,0.00000,0.00000,-1.000,-1.000,1.000,59.940,27,-1
R05B25, spo,20180420_000633,7.5,0.217,4.603, CB4_35, 9.0,2018,04,19,15,06,33.550,33.2,29.9,181.919785,-17.143667,181.673508,-17.524883,102.339828,30.378208,2634571251,1439653936,1132359201,4096951918,1122343634,3,0.00651,0.00144, spo,0.0,-1.0,-1.0,-1.0,181.881927,-17.205204,40,9.56,0.00000,0.00000,-1.000,-1.000,1.000,59.940,4,-1
R05B25, spo,20180420_001027,0.6,0.400,7.516, CB4_35, 9.0,2018,04,19,15,10,27.290,37.4,33.2,181.261230,-12.518595,179.800858,-14.960840,98.388748,29.197395,1197840513,204029244,1368005534,779418986,1348962352,3,-1.00000,0.00117, spo,0.0,-1.0,-1.0,-1.0,180.518768,-13.767675,0,1.03,191.38113,5.92141,61.230,-1.000,1.000,59.940,25,-1
