Ver,Group,LocalTime,Mag,Dur(sec),AV(deg/s),Loc_Cam,TZ(h),Y(UT),M(UT),D(UT),H(UT),M,S, Dir1, Alt1, Ra1, Dec1, Ra2, Dec2,alpha,delta, , , , , ,io,err1,err2,G1,dd(deg),dr(deg),Vo(km/s),dV(%),ra_m,dec_m,refs,errm,rat,dct,voo,vooerr,tmerr,sps,sN,drop
R05B25, spo,20180420_221720,4.9,0.184,20.033, CB4_35, 9.0,2018,04,20,13,17,20.290,39.5,36.0,153.881210,-9.282099,151.968201,-10.618855,76.615974,53.446312,2598677817,1439653936,1128521811,4051023229,1119229594,3,0.00512,0.00212, spo,0.0,-1.0,-1.0,-1.0,153.162201,-9.787066,58,0.20,0.00000,0.00000,-1.000,-1.000,1.000,59.940,6,-1
R05B25, spo,20180420_222548,3.9,0.200,4.748, CB4_35, 9.0,2018,04,20,13,25,48.110,76.2,39.5,137.145340,12.950650,136.658905,11.899421,41.348316,23.712288,1080353207,204029244,1347226048,372501483,1368052299,3,0.00994,0.00350, spo,0.0,-1.0,-1.0,-1.0,136.917038,12.458424,50,1.86,0.00000,0.00000,-1.000,-1.000,1.000,59.940,6,-1
R05B25, J5_hVi,20180420_223433,6.2,0.250,7.611, CB4_35, 9.0,2018,04,20,13,34,33.270,64.9,31.2,138.834854,0.574204,137.488846,0.936962,230.963013,74.896652,2584539978,1439653936,1119652981,3422886533,1119998061,3,0.00910,0.00294, J5_hVi,0.0,0.3,25.6,+17.3,137.996750,0.800136,56,2.52,0.00000,0.00000,-1.000,-1.000,1.000,59.940,9,-1
R05B25, J5_hVi,20180420_223915,0.3,0.984,6.096, CB4_35, 9.0,2018,04,20,13,39,15.150,31.7,29.1,161.851608,-18.473677,155.238480,-19.030415,143.105988,70.567078,1087684897,204029244,1370000657,714250306,1356694520,3,0.00900,0.00396, J5_hVi,0.0,3.4,28.7,+31.5,158.995911,-18.743147,43,2.04,215.25417,-9.79289,22.240,-1.000,1.000,59.940,60,-1
R05B25, spo,20180420_225205,0.3,0.350,4.925, CB4_35, 9.0,2018,04,20,13,52,5.530,72.1,31.4,139.405304,5.364941,138.219391,4.020446,44.698215,41.147907,2586861422,1439653936,1119743716,3426633783,1119938971,3,0.00998,0.00132, spo,0.0,-1.0,-1.0,-1.0,138.868469,4.757212,65,2.02,157.08165,24.27760,32.850,-1.000,1.000,59.940,22,-1
R05B25, spo,20180420_225246,2.4,0.567,9.209, CB4_35, 9.0,2018,04,20,13,52,46.840,68.3,34.8,144.214844,5.162328,138.912582,7.038754,248.203293,69.506981,1078829902,204029244,1346621211,358957734,1349796021,3,0.00685,0.00199, spo,0.0,-1.0,-1.0,-1.0,141.629211,6.085478,48,1.21,188.41618,-12.05209,36.960,-1.000,1.000,59.940,30,-1
R05B25, spo,20180420_231533,8.2,0.284,0.377, CB4_35, 9.0,2018,04,20,14,15,33.650,51.3,21.4,151.131042,-14.851576,151.143448,-14.851933,157.778885,75.052376,2599728697,1439653936,1129264176,3471961494,1100500164,3,0.00784,0.01297, spo,0.0,-1.0,-1.0,-1.0,151.094986,-14.850532,44,0.35,0.00000,0.00000,-1.000,-1.000,1.000,59.940,6,-1
R05B25, spo,20180420_231914,1.6,0.450,7.382, CB4_35, 9.0,2018,04,20,14,19,14.640,48.0,41.1,166.761108,-1.336300,163.558517,-1.452643,108.976707,87.494514,1194337940,204029244,1369446983,700284042,1371635226,3,0.00965,0.00292, spo,0.0,-1.0,-1.0,-1.0,165.161957,-1.394940,44,0.38,325.41345,0.62919,51.410,-1.000,1.000,59.940,27,-1
R05B25, spo,20180420_231958,1.6,0.317,12.360, CB4_35, 9.0,2018,04,20,14,19,58.120,49.0,42.3,167.073441,0.130756,164.493958,-2.982844,76.969185,39.652355,2639509237,1439653936,1129833489,4090338094,1136926424,3,0.00965,0.00166, spo,0.0,-1.0,-1.0,-1.0,166.015701,-1.150223,63,5.26,313.68967,33.87000,43.930,-1.000,1.000,59.940,20,-1
R05B25, spo,20180420_233259,6.9,0.217,1.351, CB4_35, 9.0,2018,04,20,14,32,59.970,73.9,23.3,142.323456,1.465562,142.878235,1.443623,278.655762,87.955566,1078113479,204029244,1346711202,382462350,1397690256,3,0.00586,0.02408, spo,0.0,-1.0,-1.0,-1.0,142.329880,1.478997,54,0.17,0.00000,0.00000,-1.000,-1.000,1.000,59.940,5,-1
R05B25, spo,20180420_233259,2.2,2.853,3.734, CB4_35, 9.0,2018,04,20,14,32,59.970,73.4,24.0,143.190140,1.597500,143.371811,1.623711,42.261486,81.631599,2586200897,1439653936,1119037667,3480585018,1102891366,3,0.00586,0.02063, spo,0.0,-1.0,-1.0,-1.0,142.521210,1.500846,54,0.17,0.00000,0.00000,-1.000,-1.000,1.000,59.940,17,-1
R05B25, spo,20180420_233427,4.7,0.200,9.908, CB4_35, 9.0,2018,04,20,14,34,27.700,41.9,31.6,169.093216,-11.840002,167.543839,-13.132511,92.520744,47.924870,1195279300,204029244,1369276812,701346292,1342670630,3,0.00693,0.00089, spo,0.0,-1.0,-1.0,-1.0,168.628311,-12.230103,60,17.14,195.53139,11.62602,59.680,-1.000,1.000,59.940,12,-1
R05B25, spo,20180420_234043,1.8,0.417,6.289, CB4_35, 9.0,2018,04,20,14,40,43.110,76.4,33.8,151.184402,9.704105,151.905823,7.120908,243.860428,15.270760,2599741160,1439653936,1129302473,3472006953,1117356088,3,0.00636,0.00379, spo,0.0,-1.0,-1.0,-1.0,151.533066,8.460153,53,17.27,350.21231,29.19273,25.480,-1.000,1.000,59.940,25,-1
R05B25, spo,20180420_234938,4.2,0.417,6.710, CB4_35, 9.0,2018,04,20,14,49,38.350,29.9,37.5,184.599228,-11.553492,181.940460,-10.461898,248.727325,64.898010,1196955610,204029244,1367673384,785587541,1373688685,3,0.00604,0.00199, spo,0.0,-1.0,-1.0,-1.0,183.474152,-11.095395,51,17.08,0.00000,0.00000,-1.000,-1.000,1.000,59.940,24,-1
R05B25, spo,20180420_235819,3.6,0.284,10.156, CB4_35, 9.0,2018,04,20,14,58,19.340,56.7,27.4,162.173874,-7.135077,159.964371,-9.333856,79.178703,44.252270,2595687712,1439653936,1129346335,4041262114,1107837067,3,0.00716,0.00159, spo,0.0,-1.0,-1.0,-1.0,161.204239,-8.104479,47,17.16,262.28290,45.98551,38.040,-1.000,1.000,59.940,18,-1
R05B25, spo,20180420_235835,3.3,0.918,6.810, CB4_35, 9.0,2018,04,20,14,58,35.730,30.3,37.7,186.681335,-11.286776,180.329926,-11.724910,164.085098,77.801826,1195768178,204029244,1367495036,762795237,1375351516,3,0.00886,0.00407, spo,0.0,-1.0,-1.0,-1.0,183.596970,-11.516919,49,0.23,270.71609,-4.22594,16.860,-1.000,1.000,59.940,52,-1
R05B25, spo,20180421_000830,5.4,0.133,3.130, CB4_35, 9.0,2018,04,20,15,08,30.660,40.6,36.1,181.036438,-8.683612,179.781525,-9.502977,103.909462,55.561958,2634351259,1439653936,1132238603,4100478823,1131025185,3,0.00987,0.00170, spo,0.0,-1.0,-1.0,-1.0,179.992432,-9.364912,57,5.01,0.00000,0.00000,-1.000,-1.000,1.000,59.940,5,-1
