Ver,Group,LocalTime,Mag,Dur(sec),AV(deg/s),Loc_Cam,TZ(h),Y(UT),M(UT),D(UT),H(UT),M,S, Dir1, Alt1, Ra1, Dec1, Ra2, Dec2,alpha,delta, , , , , ,io,err1,err2,G1,dd(deg),dr(deg),Vo(km/s),dV(%),ra_m,dec_m,refs,errm,rat,dct,voo,vooerr,tmerr,sps,sN,drop
R05B25, spo,20180420_210735,3.6,1.251,5.313, CB4_35, 9.0,2018,04,20,12,07,35.840,39.8,32.9,134.490326,-11.790216,129.540085,-15.784414,58.042599,48.306797,2585103172,1439653936,1118205205,3453153285,1120660791,3,0.00706,0.00079, spo,0.0,-1.0,-1.0,-1.0,132.709824,-13.253738,129,0.32,142.00163,-5.27577,52.190,-1.000,1.000,59.940,75,-1
R05B25, spo,20180420_214800,3.3,0.117,5.592, CB4_35, 9.0,2018,04,20,12,48,0.640,52.3,27.7,132.642395,-9.560233,132.446594,-10.452842,44.694210,12.001254,1074347310,204029244,1347706553,387686351,1350736179,3,0.00473,0.00132, spo,0.0,-1.0,-1.0,-1.0,132.594452,-9.779254,74,0.36,0.00000,0.00000,-1.000,-1.000,1.000,59.940,8,-1
R05B25, spo,20180420_215820,5.5,0.217,1.141, CB4_35, 9.0,2018,04,20,12,58,20.570,50.1,31.7,139.357834,-7.668288,139.400421,-7.405454,50.586243,9.046906,2586960970,1439653936,1119738004,3426487868,1122605968,3,0.00668,0.00585, spo,0.0,-1.0,-1.0,-1.0,139.377502,-7.546913,60,0.30,0.00000,0.00000,-1.000,-1.000,1.000,59.940,11,-1
R05B25, J5_Lyr,20180420_220521,2.0,0.284,8.524, CB4_35, 9.0,2018,04,20,13,05,21.080,64.9,28.0,129.234543,-1.601022,127.767906,-3.297865,40.615261,40.764118,1075125829,204029244,1348012365,280545122,1351966260,3,0.00662,0.02194, J5_Lyr,0.0,2.2,43.0,-10.5,128.374969,-2.596253,63,0.31,183.72670,43.44806,31.460,-1.000,1.000,59.940,19,-1
R05B25, J5_Lyr,20180420_221719,0.8,0.184,13.133, CB4_35, 9.0,2018,04,20,13,17,19.510,40.2,34.6,152.613266,-10.130447,150.497055,-11.596125,76.520401,53.372879,2600423609,1439653936,1128395998,3468095388,1117578991,3,0.00613,0.00603, J5_Lyr,0.0,2.3,47.7,-0.6,151.486389,-10.914514,59,0.36,0.00000,0.00000,-1.000,-1.000,1.000,59.940,10,-1
R05B25, spo,20180420_222231,1.6,0.284,10.875, CB4_35, 9.0,2018,04,20,13,22,31.020,54.9,32.6,142.874268,-4.339684,139.277206,-3.819388,204.935989,80.799614,1078299991,204029244,1346754737,354783223,1343696807,3,0.00686,0.00143, spo,0.0,-1.0,-1.0,-1.0,141.588196,-4.155591,49,0.36,0.00000,0.00000,-1.000,-1.000,1.000,59.940,18,-1
R05B25, spo,20180420_222242,1.3,0.400,9.022, CB4_35, 9.0,2018,04,20,13,22,42.040,51.3,32.7,145.260025,-6.280805,142.554611,-6.524576,104.799019,81.768860,2597484456,1439653936,1119276272,3486965678,1122179604,3,0.00632,0.14718, spo,0.0,-1.0,-1.0,-1.0,144.178406,-6.379989,49,0.29,0.00000,0.00000,-1.000,-1.000,1.000,59.940,19,-1
R05B25, spo,20180420_222951,0.7,0.250,4.059, CB4_35, 9.0,2018,04,20,13,29,51.760,42.2,33.8,153.924240,-9.976717,153.444046,-10.948487,68.727234,25.453846,1082458295,204029244,1370784782,722880523,1349090145,3,0.00614,0.00075, spo,0.0,-1.0,-1.0,-1.0,153.738785,-10.352827,50,0.42,0.00000,0.00000,-1.000,-1.000,1.000,59.940,16,-1
R05B25, spo,20180420_223642,-0.3,0.517,8.047, CB4_35, 9.0,2018,04,20,13,36,42.670,46.0,33.3,152.691254,-8.504478,151.020966,-12.224203,66.403145,23.410221,2600459311,1439653936,1128371720,3468342215,1122175334,3,0.00660,0.00081, spo,0.0,-1.0,-1.0,-1.0,151.915527,-10.244050,47,3.14,160.44223,10.09163,64.820,-1.000,1.000,59.940,32,-1
R05B25, spo,20180420_224015,7.2,6.089,1.085, CB4_35, 9.0,2018,04,20,13,40,15.750,44.1,30.8,153.423096,-11.508468,153.072708,-12.332687,68.158531,22.070786,1082389515,204029244,1370867618,725502374,1345562387,3,-1.00000,0.02382, spo,0.0,-1.0,-1.0,-1.0,153.109070,-12.247418,0,0.42,337.08780,9.99974,24.620,-1.000,1.000,59.940,14,-1
