Ver,Group,LocalTime,Mag,Dur(sec),AV(deg/s),Loc_Cam,TZ(h),Y(JST),M(JST),D(UT),H(UT),D(JST),H(JST),M,S, Dir1, Alt1, Ra1, Dec1, Ra2, Dec2,alpha,delta,1,2,3,4,5,io,err1,err2,G1,dd(deg),dr(deg),Vo(km/s),dV(%),ra_m,dec_m,refs,errm,rat,dct,voo,vooerr,tmerr,sps,sN,drop
R05B25, spo,20180421_210617,1.2,0.651,3.929, Osaka04-85_,9,2018,4,21,12,21,21,6,17.95,280.6,57.5,201.539398,23.611238,204.176468,24.229742,55.178467,62.298508,2845549138,1417645346,3670833914,2174924116,3703491093,2,0.00279,0.00108, spo,0,-1,-1,-1,202.516129,23.84626,51,0.33,0,0,-1,-1,1,119.88,79,-1
R05B25, spo,20180421_212723,5,0.117,6.433, Osaka04-85_,9,2018,4,21,12,21,21,27,23.96,257.9,61.5,206.669998,35.744995,206.394531,35.033363,106.175011,14.201591,510061866,3348095654,3950833535,908566085,3992551482,3,0.00255,0.002, spo,0,-1,-1,-1,206.541992,35.415936,49,0.33,0,0,-1,-1,1,119.88,14,-1
R05B25, spo,20180421_213646,3.6,0.392,4.814, Osaka04-85_,9,2018,4,21,12,21,21,36,46.18,259.5,61.6,208.780273,35.023285,210.186691,33.674828,325.400116,32.593033,1561588479,2565387380,315849566,1959470806,338555738,3,0.00264,0.00165, spo,0,-1,-1,-1,209.514465,34.326771,53,0.33,31.68517,-24.20138,25.92,-1,1,119.88,45,-1
R05B25, spo,20180421_213811,5,0.192,4.242, Osaka04-85_,9,2018,4,21,12,21,21,38,11.96,252.4,61.5,209.808685,38.35321,210.81987,38.674187,63.396919,46.473198,98092618,3566441968,3947404558,742086502,3989496025,3,0.00301,0.00309, spo,0,-1,-1,-1,210.255493,38.496464,54,0.39,198.02693,33.85351,44.64,-1,1,119.88,22,-1
R05B25, spo,20180421_215331,3.8,0.309,5.44, Osaka04-85_,9,2018,4,21,12,21,21,53,31.1,279.8,58.1,212.996368,24.279438,213.78186,25.827583,112.373245,22.228689,3632349036,3271294840,1349532454,4047223236,1455398890,2,0.00261,0.00167, spo,0,-1,-1,-1,213.371323,25.023829,52,0.37,199.63052,-28.48997,13.84,-1,1,119.88,38,-1
R05B25, spo,20180421_222003,1.8,0.509,8.813, Osaka04-85_,9,2018,4,21,13,21,22,20,3.59,259.9,67.5,212.416443,35.642605,217.992065,36.842663,59.479809,51.158154,2533526979,51794532,1505531767,3196248487,1556273863,2,0.0024,0.00088, spo,0,-1,-1,-1,215.032227,36.242451,54,0.31,152.37813,1.55184,16.56,-1,1,119.88,62,-1
R05B25, spo,20180421_223617,3.9,0.442,5.134, Osaka04-85_,9,2018,4,21,13,21,22,36,17.15,250.8,57.9,229.063766,38.82177,229.577621,36.574623,325.635925,8.095534,1222154660,2436419648,2228916955,1669535078,2183460805,3,0.0022,0.00172, spo,0,-1,-1,-1,229.31163,37.755154,52,0.31,224.58934,56.71518,28.5,-1,1,119.88,53,-1
R05B25, spo,20180421_224145,2.8,0.993,7.648, Osaka04-85_,9,2018,4,21,13,21,22,41,45.41,259.5,58.8,228.411087,34.49086,236.994217,31.66478,17.011713,51.168659,870240590,2543543052,2396744408,412071769,2285105288,3,0.00279,0.00175, spo,0,-1,-1,-1,230.638168,33.831203,65,0.3,117.78687,10.17069,13.97,-1,1,119.88,120,-1
R05B25, spo,20180421_230639,3.2,0.175,7.608, Osaka04-85_,9,2018,4,21,14,21,23,6,39.15,266,56.5,236.292206,30.515085,236.068588,29.215603,321.930359,-7.352696,1563635299,3241192272,3012481905,1991600507,3044274267,3,0.00273,0.00152, spo,0,-1,-1,-1,236.19223,29.938292,69,0.25,52.25648,-15.83177,66.88,-1,1,119.88,20,-1
R05B25, spo,20180421_230714,5,0.092,0.764, Osaka04-85_,9,2018,4,21,14,21,23,7,14.01,274.1,57.4,233.651367,26.721327,233.654114,26.723675,103.342484,52.109806,1846179416,3263915996,148480120,1172473260,236389905,3,0.00248,0.00042, spo,0,-1,-1,-1,233.652115,26.722246,61,0.26,0,0,-1,-1,1,119.88,4,-1
R05B25, J5_Lyr,20180421_233125,3.2,0.267,9.61, Osaka04-85_,9,2018,4,21,14,21,23,31,25.65,246.8,58.5,242.260025,40.951591,238.793243,41.298748,49.103294,48.292656,2791894548,557997168,2815985302,2359544002,2707282552,3,0.00225,0.0021, J5_Lyr,0,0.2,42.9,-10.6,240.676147,41.123554,64,0.24,271.63495,33.54018,45.31,-1,1,119.88,33,-1
R05B25, spo,20180421_233136,3.9,0.234,5.707, Osaka04-85_,9,2018,4,21,14,21,23,31,36.22,262.4,52.5,247.662354,31.229971,248.076752,30.00666,346.315765,13.935957,3793182300,2485952636,3686740701,3356833450,3724498246,3,0.00216,0.00227, spo,0,-1,-1,-1,247.886459,30.572416,65,0.24,60.64832,-4.66346,14.71,-1,1,119.88,29,-1
