Ver,Group,LocalTime,Mag,Dur(sec),AV(deg/s),Loc_Cam,TZ(h),Y(JST),M(JST),D(UT),H(UT),D(JST),H(JST),M,S, Dir1, Alt1, Ra1, Dec1, Ra2, Dec2,alpha,delta,1,2,3,4,5,io,err1,err2,G1,dd(deg),dr(deg),Vo(km/s),dV(%),ra_m,dec_m,refs,errm,rat,dct,voo,vooerr,tmerr,sps,sN,drop
R05B25, spo,20180418_223104,0.2,0.534,14.642, Osaka04-NE_Fu,9,2018,4,18,13,18,22,31,4.16,249.2,58.4,224.233078,39.713154,224.851013,47.402523,132.23703,2.401232,2382404409,3610408714,2135486885,2213296414,2041914760,3,0.01571,0.00649, spo,0,-1,-1,-1,224.514404,43.459347,43,0.59,222.26413,-25.29517,29.81,-1,1,59.94,33,-1
R05B25, J5_Lyr,20180418_232802,1.5,0.35,8.713, Osaka04-NE_Fu,9,2018,4,18,14,18,23,28,2.3,230.4,52.4,246.559555,50.512901,242.291229,52.160263,26.0919,32.081329,444795324,1081474542,3224735734,370747374,3323445578,3,0.01676,0.01924, J5_Lyr,0,0.7,46.1,-3.9,244.713333,51.259113,59,-1,272.6741,33.3244,42.07,-1,1,59.94,22,-1
R05B25, J5_hVi,20180418_234232,0.8,0.217,9.572, Osaka04-NE_Fu,9,2018,4,18,14,18,23,42,32.54,253.6,48.8,253.562027,35.609577,255.693741,36.730427,122.442368,42.559669,3679747703,1916755908,3651516819,3616735697,3737525423,3,0.01642,0.00998, J5_hVi,0,1.7,21.7,-0.5,254.549377,36.137413,61,-1,184.67934,-30.35076,20.03,-1,1,59.94,12,-1
R05B25, spo,20180419_012835,-0.3,0.217,15.203, Osaka04-NE_Fu,9,2018,4,18,16,19,1,28,35.62,262.9,66.9,257.304688,34.370068,254.526001,32.053082,317.111755,-36.327427,4145666125,1209377280,3898683419,4223964064,3976456306,1,0.01634,0.00574, spo,0,-1,-1,-1,256.002838,33.307491,83,0.09,14.74389,34.24955,26.88,-1,1,59.94,14,-1
R05B25, spo,20180419_025555,1.5,0.4,11.91, Osaka04-NE_Fu,9,2018,4,18,17,19,2,55,55.78,229,67.3,276.52359,47.182446,283.524536,47.713478,108.67057,42.17136,1379981999,3650977048,3631756286,1560959594,3708805585,3,0.01499,0.00752, spo,0,-1,-1,-1,279.700317,47.477612,105,0.4,197.40868,0.26754,20.68,-1,1,59.94,24,-1
R05B25, spo,20180419_032824,-0.7,0.434,16.823, Osaka04-NE_Fu,9,2018,4,18,18,19,3,28,24.3,251.3,49.7,309.593964,37.1791,315.812042,42.697609,13.628185,-29.996223,2479000264,1035359620,1399696835,2648469940,1441237615,3,0.01531,0.00344, spo,0,-1,-1,-1,312.343903,39.771118,119,-1,288.47717,8.32225,66.14,-1,1,59.94,27,-1
R05B25, spo,20180419_035307,0,0.3,20.624, Osaka04-NE_Fu,9,2018,4,18,18,19,3,53,7.28,251.5,69.5,290.610016,38.6506,287.128448,44.289856,35.932556,18.284813,1441367418,3556632960,4005798498,1516402252,3941231684,3,0.01483,0.00638, spo,0,-1,-1,-1,289.047028,41.317196,114,0.52,305.28723,1.73745,60.65,-1,1,59.94,19,-1
R05B25, spo,20180419_043522,0.5,0.2,9.579, Osaka04-NE_Fu,9,2018,4,18,19,19,4,35,22.68,270.3,67.4,302.799805,31.563353,304.186249,33.095512,11.249773,-30.875904,2136835793,1782468428,160443059,1889228917,218305258,3,0.01753,0.0308, spo,0,-1,-1,-1,303.425201,32.262791,54,0.39,0,0,-1,-1,1,59.94,13,-1
R05B25, J5_hVi,20180419_011757,1.2,0.117,13.567, Osaka04-NE_Fu,9,2018,4,18,16,19,1,17,57.65,233.1,64.4,256.787659,46.654934,258.683685,47.607353,122.943977,33.176281,1998402647,2929179088,398520909,2077077494,315618626,3,0.01359,0.0128, J5_hVi,0,2.8,24.9,14,257.584412,47.063141,72,0.25,197.04149,-22.57634,24.42,-1,1,59.94,7,-1
R05B25, spo,20180419_031353,1.5,0.15,9.895, Osaka04-NE_Fu,9,2018,4,18,18,19,2,13,53.31,242.1,38.8,321.570282,40.960976,323.045868,41.91069,14.67837,-34.664841,914853079,2622565468,3537253658,955159711,3580797330,3,0.01522,0.03074, spo,0,-1,-1,-1,322.365662,41.478687,113,0.17,0,0,-1,-1,1,59.94,10,-1
