,g_mag_star,g_mag_star_err,x_astropy,y_astropy,source_ID,star_flux
0,11.4266,0.0008,224.2881615950796,199.34653973432012,3.759310622794545e+18,208253.17068302826
1,12.4215,0.0004,470.1162068792468,184.1281103084787,3.7592669172074153e+18,74220.58164368688
2,12.6055,0.0007,225.72153037899682,261.3440327745434,3.759215519334654e+18,66416.2392413188
3,12.6509,0.0005,234.48544546822984,239.118860811158,3.759215858636107e+18,64566.000587597104
4,12.7335,0.0004,388.66524349606567,100.68924825666642,3.759318632909275e+18,66418.73213201211
5,12.8205,0.0009,312.7806413290262,86.08928416912292,3.759316708763903e+18,53701.31511398906
6,13.0821,0.0004,203.72931142008494,139.5178202200951,3.7593147158990746e+18,43296.156236966446
7,13.1963,0.0004,20.357648743178316,269.69325165896777,3.7592182337539533e+18,43413.386537725106
8,13.2152,0.0004,337.6959384416839,218.44212800926488,3.759262935773376e+18,40759.00597457515
9,13.2168,0.0004,370.4096756720669,198.46838588305118,3.759264481961604e+18,45871.21533230109
10,13.3173,0.0004,333.0386128077702,226.2886530108935,3.7592628971180273e+18,40608.74667723504
11,13.5094,0.0003,449.4953469711734,231.06481678306258,3.759260599311196e+18,32321.90774339617
12,13.5261,0.0015,307.47742600475385,186.1499295526081,3.759310214773371e+18,32462.175474652435
13,13.569,0.0003,363.17459845017646,203.89475477464316,3.759264447601865e+18,33653.31676026023
14,13.5937,0.0003,254.13083328422502,183.6310275280084,3.7593111424862833e+18,28114.680591569162
15,13.5986,0.0005,110.41220073009842,125.02034895834544,3.759233248959654e+18,30945.37615388423
16,13.6239,0.0003,241.8728517551032,17.332385310695713,3.7593300059826524e+18,33245.000795072396
17,13.7124,0.0003,43.503596880947065,183.35513106281024,3.7592310499363676e+18,23108.009744344516
18,13.8881,0.0003,441.3766957866362,261.99076395881787,3.759260083915119e+18,21871.314371519886
19,13.9182,0.0004,268.8554281911572,161.19578650843815,3.7593112799252383e+18,21707.15222350517
20,14.0187,0.0004,166.70623776459175,78.2556471138799,3.759327772599656e+18,20411.00610245752
21,14.0566,0.0004,263.0929730606414,199.41210171922611,3.7593099398954404e+18,20951.215302248977
22,14.2421,0.0004,253.8483268575268,192.05096095029236,3.7593106958096845e+18,17894.988098695336
23,14.2757,0.0004,171.02950518474927,183.7639147541754,3.7592202609785503e+18,18247.601791183493
24,14.3087,0.0004,233.46424272207997,232.91560630546863,3.7592158629320387e+18,5107.6757489100455
25,14.3774,0.0004,447.8102449904917,128.8153113493052,3.759271560067711e+18,10406.439178307495
26,14.3926,0.0005,388.0637366798179,169.40264176102778,3.7592649973576806e+18,12174.402603652476
27,14.3932,0.0004,182.31068167532226,149.7201424223177,3.759314303582213e+18,14979.829059900334
28,14.4027,0.0004,433.7097904245832,202.35651578332627,3.759263932205791e+18,18249.13353798738
29,14.4301,0.0004,458.4654893839374,77.48712536214222,3.759320419615673e+18,15041.594548332154
30,14.4786,0.0007,365.9866379220105,82.76046819979074,3.7593195262624737e+18,9690.22157589029
31,14.517000000000001,0.0005,460.2016243226024,40.9905707124754,3.7593208319325343e+18,13824.348536239557
32,14.5502,0.0005,446.2010394226813,90.87958675438178,3.759271972384573e+18,11437.33830191094
33,14.5929,0.0005,415.32651428986026,105.39827343146654,3.759318392391107e+18,13531.610828166147
34,14.7477,0.0009,111.9120336404173,23.43011096662812,3.75933210192564e+18,22690.635189079327
35,14.7852,0.0009,366.0411739396909,206.4174124100289,3.7592643788823885e+18,3042.073670873536
36,14.8439,0.0005,456.3242729279676,251.21155354158608,3.75926049623198e+18,10763.733667499875
37,14.8825,0.0006,489.32979462751547,165.95871811812032,3.7592674368991355e+18,7892.999466815102
38,14.9221,0.0006,258.0830913731268,16.215352068160232,3.7593358127784366e+18,1450.824638537011
39,14.944,0.0009,42.57973993453508,47.33116341955328,3.7593317883933793e+18,11554.107603236538
40,15.0069,0.0005,183.459902920807,62.65848001917411,3.7593292844281446e+18,10142.188666335564
41,15.0756,0.0006,377.25365361557607,46.005231166731065,3.7593202478169805e+18,8457.341125650632
