,g_mag_star,g_mag_star_err,x_astropy,y_astropy,source_ID,star_flux
0,10.885,0.0003,201.73716637013652,124.57447650885574,3.773731920383788e+18,158040.4837097826
1,11.7714,0.0004,354.2266500913718,88.834389434959,3.7737304815698545e+18,66791.63619219804
2,11.8991,0.0003,319.56700276879263,48.959376811241,3.7737338831839427e+18,67166.91145577324
3,12.4992,0.0002,333.76362769948946,253.62541872033574,3.773714160694142e+18,32151.769134467104
4,12.5168,0.0009,473.90404346914215,38.464162099574,3.779736525181293e+18,31947.340489676422
5,12.5717,0.0003,169.9301383623926,269.7892144835022,3.7737192802951685e+18,27747.162340563726
6,12.584000000000001,0.0003,471.4856683498648,50.26256405935366,3.779736426397656e+18,31444.467876170613
7,12.5917,0.0002,165.03979081168052,241.50211699525582,3.7737210627064653e+18,26097.934540472117
8,12.5936,0.0008,371.2953967549561,221.4687373219291,3.773714710449952e+18,28584.77105000395
9,12.6134,0.0003,311.8722880092259,247.39067855101268,3.773714396917227e+18,27774.290587274205
10,12.6865,0.0002,323.71204089338363,267.2988402726033,3.7737082508191437e+18,36309.97023416142
11,12.9225,0.0003,464.427218012594,255.63693005511757,3.773711961670876e+18,25307.406651124216
12,13.0591,0.0006,421.2324781085936,153.66245680050682,3.773717184351105e+18,24622.7756679404
13,13.1843,0.0003,106.60752996160863,251.0169432891241,3.7737222652977823e+18,27577.117033577164
14,13.2352,0.0003,80.67422836535157,37.23360596911982,3.773924506717321e+18,12866.782528400588
15,13.3322,0.0005,483.07656521390845,150.52265966635304,3.779721063299031e+18,15881.537194523893
16,13.4025,0.0002,15.345733275583026,152.92424022363986,3.7739129661404493e+18,14568.031066157453
17,13.4078,0.0002,201.7931564643106,229.58127740443462,3.77372116578568e+18,14078.412307438502
18,13.5307,0.0003,146.70756136378537,127.66409697070831,3.773913859493639e+18,14191.9522297049
19,13.5983,0.0003,421.1645400906897,131.86647574169032,3.773717390509534e+18,16275.324764974623
20,13.6178,0.0004,215.63382508366595,129.15446843098914,3.773731890319119e+18,14459.38395544171
21,13.6653,0.0004,311.1410023045588,60.587979191985816,3.773733745744989e+18,11632.901398338874
22,13.9161,0.0004,355.60084755735255,84.47344035072398,3.7737305502893307e+18,-377.21516356202847
23,13.9263,0.0003,225.6077601246776,21.798981746073178,3.773922445132976e+18,9904.519294146015
24,14.0979,0.0004,407.3253280028614,158.0995367797743,3.773717149991368e+18,10382.481943580551
25,14.1046,0.0004,480.26668805617516,220.2546421664104,3.773712751944855e+18,14734.759140416889
26,14.2173,0.0003,192.37383637794017,222.92516721034974,3.773721238800252e+18,-71.50150321223987
