,g_mag_star,g_mag_star_err,x_astropy,y_astropy,source_ID,star_flux
0,10.7259,0.0003,125.54996390584114,109.6104048762393,3.767984536882611e+18,252057.21681835875
1,11.097999999999999,0.0006,339.3183255296779,36.065463926169905,3.767981650664571e+18,289547.1688563123
2,11.9037,0.0002,340.50344462138037,199.1628499744979,3.767968009848484e+18,134426.57514313632
3,12.1747,0.0002,285.11543009171396,137.74739045571144,3.767972437958858e+18,75652.28855174746
4,12.2993,0.0003,207.6616788220116,51.81191291995177,3.7679925427016417e+18,78231.77680906352
5,12.6423,0.0003,366.2775525566031,218.47237643996758,3.767967661955226e+18,51193.79085376265
6,12.6476,0.0003,440.72252696727264,251.32187991842167,3.755962575528062e+18,59207.0353041496
7,12.9522,0.0005,77.83158837938515,74.40776144226308,3.7679885569720013e+18,42650.51643325176
8,13.0278,0.0007,474.17943007997286,204.4168304968437,3.75596343452152e+18,42336.133459704724
9,13.0339,0.0009,313.0968858310225,39.334414114251025,3.7679918898666066e+18,33590.92188619494
10,13.2432,0.0002,91.24349160573857,49.63733907887568,3.767990171879702e+18,29307.636298517555
11,13.4968,0.0003,242.47369476415105,56.55471152288209,3.7679916493484426e+18,20954.991778151354
12,13.6548,0.0005,263.32237446302787,169.77166620359824,3.76797182377941e+18,17674.53259096323
13,13.6982,0.0004,171.90448878997344,248.43863609027375,3.7679694529574733e+18,25258.45132431234
14,13.7136,0.0004,147.56630709387443,20.46508564584281,3.7679900000810045e+18,13232.371028332715
15,13.8014,0.001,61.22824388519749,264.7907263035275,3.7678878142190126e+18,23112.9805288413
16,13.9953,0.0005,222.999505580754,19.57535373010125,3.7679927832198077e+18,14011.133704869573
17,14.289000000000001,0.0004,202.15182417800727,216.36220165638244,3.7679700027132836e+18,14496.773460171
18,14.3106,0.0005,441.0066517881305,82.28763268020178,3.767977493136268e+18,7242.86703360067
19,14.325999999999999,0.0005,359.4482649650724,189.05618964976082,3.7679680442082217e+18,681.8406351295469
20,14.347999999999999,0.0005,474.4659294895909,12.627743613844476,3.76800453425036e+18,13221.73681737826
21,14.3502,0.0004,126.45557573752406,264.37364371802715,3.7678762693469184e+18,15614.577476695413
22,14.5794,0.0005,278.8562443089313,265.4664155292695,3.7679656390265385e+18,-512.6242942152271
23,14.7086,0.0005,307.43100102640113,235.62348410995,3.7679673570134564e+18,8739.94533561935
24,14.9225,0.0005,265.0431993886835,258.0975632206493,3.767966459364391e+18,8139.025518325808
25,15.045,0.0005,440.41316230917135,143.39250343584115,3.7679758438682307e+18,76536.79806744689
