,rcs_dBsm,collection_area
0,-50.0,1.5403857099081475
1,-49.64824120603015,3.080771419816295
2,-49.2964824120603,4.813705343462961
3,-48.94472361809045,6.546639267109627
4,-48.5929648241206,8.279573190756292
5,-48.24120603015076,9.049766045710365
6,-47.88944723618091,10.590151755618514
7,-47.537688442211056,12.900730320480735
8,-47.185929648241206,14.441116030388882
9,-46.834170854271356,16.17404995403555
10,-46.482412060301506,17.32933923646666
11,-46.130653266331656,18.29208030515925
12,-45.778894472361806,19.447369587590362
13,-45.42713567839196,21.9504963661911
14,-45.07537688442211,23.298333862360728
15,-44.72361809045226,24.838719572268875
16,-44.37185929648241,25.60891242722295
17,-44.02010050251256,26.76420170965406
18,-43.66834170854271,29.2673284882548
19,-43.31658291457286,29.844973129470354
20,-42.96482412060301,30.42261777068591
21,-42.61306532663316,32.3480999080711
22,-42.26130653266332,33.11829276302517
23,-41.90954773869347,33.88848561797924
24,-41.55778894472362,35.62141954162591
25,-41.20603015075377,36.969257037795536
26,-40.85427135678392,38.31709453396517
27,-40.50251256281407,39.6649320301348
28,-40.15075376884422,40.820221312565906
29,-39.798994974874375,42.745703449951094
30,-39.447236180904525,43.9009927323822
31,-39.095477386934675,45.24883022855183
32,-38.743718592964825,46.40411951098294
33,-38.391959798994975,47.75195700715257
34,-38.040201005025125,48.90724628958368
35,-37.688442211055275,50.447631999491826
36,-37.336683417085425,51.60292128192294
37,-36.984924623115575,52.758210564354044
38,-36.633165829145725,52.758210564354044
39,-36.281407035175874,54.491144488000714
40,-35.92964824120603,55.83898198417034
41,-35.57788944723618,56.224078411647376
42,-35.22613065326633,58.5346569765096
43,-34.87437185929648,59.30484983146367
44,-34.52261306532663,60.075042686417746
45,-34.17085427135678,61.23033196884886
46,-33.81909547738694,62.57816946501848
47,-33.46733668341709,63.54091053371108
48,-33.11557788944724,64.50365160240368
49,-32.76381909547739,65.27384445735774
50,-32.41206030150754,65.8514890985733
51,-32.06030150753769,66.42913373978885
52,-31.708542713567837,67.00677838100441
53,-31.356783919597987,68.16206766343552
54,-31.00502512562814,68.54716409091256
55,-30.65326633165829,70.08754980082071
56,-30.30150753768844,71.0502908695133
57,-29.94974874371859,71.43538729699034
58,-29.597989949748744,71.62793551072886
59,-29.246231155778894,72.59067657942144
60,-28.894472361809044,73.55341764811403
61,-28.542713567839193,74.13106228932959
62,-28.190954773869347,75.47889978549922
63,-27.839195979899497,76.2490926404533
64,-27.487437185929647,76.2490926404533
65,-27.135678391959797,77.40438192288441
66,-26.783919597989946,78.55967120531552
67,-26.4321608040201,79.5224122740081
68,-26.08040201005025,79.90750870148514
69,-25.7286432160804,80.67770155643922
70,-25.37688442211055,81.25534619765477
71,-25.025125628140703,82.41063548008589
72,-24.673366834170853,83.7584729762555
73,-24.321608040201003,84.14356940373254
74,-23.969849246231153,84.91376225868662
75,-23.618090452261306,85.10631047242515
76,-23.266331658291456,86.06905154111773
77,-22.914572864321606,87.22434082354884
78,-22.562814070351756,87.8019854647644
79,-22.21105527638191,88.18708189224144
80,-21.85929648241206,88.95727474719551
81,-21.50753768844221,89.53491938841105
82,-21.15577889447236,90.8827568845807
83,-20.80402010050251,91.65294973953478
84,-20.452261306532662,92.80823902196587
85,-20.100502512562812,93.00078723570441
86,-19.748743718592962,94.15607651813552
87,-19.396984924623112,94.73372115935106
88,-19.045226130653266,95.50391401430514
89,-18.693467336683415,95.69646222804364
90,-18.341708542713565,96.27410686925921
91,-17.98994974874372,97.04429972421329
92,-17.63819095477387,97.62194436542885
93,-17.28643216080402,97.81449257916736
94,-16.93467336683417,98.39213722038292
95,-16.58291457286432,98.77723364785996
96,-16.23115577889447,99.73997471655254
97,-15.879396984924618,100.70271578524515
98,-15.527638190954768,104.36113184627699
99,-15.175879396984925,113.9885425332029
100,-14.824120603015075,126.31162821246808
101,-14.472361809045225,140.9452924565955
102,-14.120603015075375,159.23737276175473
103,-13.768844221105525,173.87103700588213
104,-13.417085427135675,186.00157447140882
105,-13.065326633165824,199.67249764684362
106,-12.713567839195974,206.98932976890728
107,-12.361809045226131,216.61674045583322
108,-12.010050251256281,223.5484761504199
109,-11.658291457286431,231.0578564862221
110,-11.306532663316581,238.56723682202434
111,-10.954773869346731,246.07661715782655
112,-10.60301507537688,251.85306356998208
113,-10.25125628140703,256.47422069970656
114,-9.89949748743718,263.59850460803176
115,-9.54773869346733,268.98985459271023
116,-9.195979899497488,275.7290420735584
117,-8.844221105527637,280.7352956307598
118,-8.492462311557787,284.9713563330073
119,-8.140703517587937,289.5925134627317
120,-7.788944723618087,294.9838634474102
121,-7.437185929648237,299.21992414965763
122,-7.085427135678387,302.68579199695097
123,-6.733668341708537,305.5740152030287
124,-6.381909547738694,309.2324312640606
125,-6.030150753768844,312.89084732509247
126,-5.678391959798994,317.1269080273398
127,-5.3266331658291435,319.63003480594057
128,-4.974874371859293,325.5990294318347
129,-4.623115577889443,337.1519222561458
130,-4.271356783919593,349.86010436288797
131,-3.919597989949743,361.02790075972206
132,-3.567839195979893,371.8106007290791
133,-3.21608040201005,385.09642747703685
134,-2.8643216080402,397.419513156302
135,-2.5125628140703498,408.3947613393976
136,-2.1608040201004997,418.0221720263235
137,-1.8090452261306496,431.30799877428126
138,-1.4572864321607994,445.9416630184087
139,-1.1055276381909493,456.72436298776574
140,-0.7537688442210992,468.8549004532924
141,-0.40201005025125625,484.2587575523738
142,-0.05025125628140614,496.581843231639
143,0.30150753768844396,511.4080556895049
144,0.6532663316582941,527.1970092160635
145,1.0050251256281442,551.2655359333783
